VARIABLE,CODE,TEXT,EQUIV
Income,1,"Less than $9,999","Less than $9,999"
Income,2,"$10,000 to $14,999","$10,000 to $14,999"
Income,3,"$15,000 to $19,999","$15,000 to $19,999"
Income,4,"$20,000 to $24,999","$20,000 to $24,999"
Income,5,"$25,000 to $29,999","$25,000 to $29,999"
Income,6,"$30,000 to $34,999","$30,000 to $34,999"
Income,7,"$35,000 to $39,999","$35,000 to $39,999"
Income,8,"$40,000 to $44,999","$40,000 to $44,999"
Income,9,"$45,000 to $49,999","$45,000 to $49,999"
Income,10,"$50,000 to $54,999","$50,000 to $54,999"
Income,11,"$55,000 to $59,999","$55,000 to $59,999"
Income,12,"$60,000 to $64,999","$60,000 to $64,999"
Income,13,"$65,000 to $69,999","$65,000 to $69,999"
Income,14,"$70,000 to $74,999","$70,000 to $74,999"
Income,15,"$75,000 to $79,999","$75,000 to $79,999"
Income,16,"$80,000 to $84,999","$80,000 to $84,999"
Income,17,"$85,000 to $89,999","$85,000 to $89,999"
Income,18,"$90,000 to $94,999","$90,000 to $94,999"
Income,19,"$95,000 to $99,999","$95,000 to $99,999"
Income,20,"$100,000 to $104,999","$100,000 to $104,999"
Income,21,"$105,000 to $114,999","$105,000 to $114,999"
Income,22,"$115,000 to $124,999","$115,000 to $124,999"
Income,23,"$125,000 to $134,999","$125,000 to $134,999"
Income,24,"$135,000 to $149,999","$135,000 to $149,999"
Income,25,"$150,000 to $199,999","$150,000 to $199,999"
Income,26,"$200,000 or more","$200,000 or more"
Income,98,Don’t Know,Dont Know
Income,99,Refused,Refused
Relationship,0,Head of Household,Head of Household
Relationship,1,Husband/Wife/Unmarried Partner,Husband/Wife/Unmarried Partner
Relationship,2,Mother/Father/In-law,Mother/Father/Inlaw
Relationship,3,Brother/Sister/In-law,Brother/Sister/Inlaw
Relationship,4,Grandfather/Grandmother,Grandfather/Grandmother
Relationship,5,Grandson/Granddaughter,Grandson/Granddaughter
Relationship,6,Son/Daughter/In-law,Son/Daughter/Inlaw
Relationship,7,Aunt/Uncle,Aunt/Uncle
Relationship,8,Other Relative,Other Relative
Relationship,9,Other Non-Relative,Other NonRelative
Relationship,10,Household Help,Household Help
Relationship,98,Don’t Know ,Dont Know 
Relationship,99,Refused,Refused
Licensed_Driver,1,Yes,Yes
Licensed_Driver,2,No,No
Licensed_Driver,98,Don't Know,Dont Know
Licensed_Driver,99,Refused,Refused
Employment,1,Yes,Yes
Employment,2,No,No
Employment,98,Don't Know,Dont Know
Employment,99,Refused,Refused
Employment_Status,1,Employed full time 30 or more hours per week,Full Time
Employment_Status,2,Employed part time less than 30 hours per week,Part Time
Employment_Status,3,Self employed full time 30 or more hours per week,Full Time
Employment_Status,4,Self employed part time less than 30 hours per week,Part Time
Employment_Status,98,Don’t Know,Dont Know
Employment_Status,99,Refused,Refused
More_than_One_Job,1,Yes,Yes
More_than_One_Job,2,No,No
More_than_One_Job,98,Don't Know,Dont Know
More_than_One_Job,99,Refused,Refused
Workplace_Type,1,Office (non‐government),Office (nongovernment)
Workplace_Type,2,Office (government),Office (government)
Workplace_Type,3,Home Office/Residential Workplace,Home Office/Residential Workplace
Workplace_Type,4,Casino Hotel,Casino Hotel
Workplace_Type,5,Hotel/Motel/Campsite (No Casino),Hotel/Motel/Campsite (No Casino)
Workplace_Type,6,Coworking Space,Coworking Space
Workplace_Type,7,Industrial Warehouse/Manufacturing,Industrial Warehouse/Manufacturing
Workplace_Type,8,Medical Offices/Hospital,Medical Offices/Hospital
Workplace_Type,9,School; Daycare/Preschool,School; Daycare/Preschool
Workplace_Type,10,School; Elementary,School; Elementary
Workplace_Type,11,School; Middle/Junior High,School; Middle/Junior High
Workplace_Type,12,School; High School,School; High School
Workplace_Type,13,School; College/University/Trade School,School; College/University/Trade School
Workplace_Type,14,"Restaurant/Fast Food, Café, Bar & Grill","Restaurant/Fast Food, Cafe, Bar & Grill"
Workplace_Type,15,Convenience/Drug Store/Gas Station,Convenience/Drug Store/Gas Station
Workplace_Type,16,Grocery Store,Grocery Store
Workplace_Type,17,Recreational facility/Fitness Club,Recreational facility/Fitness Club
Workplace_Type,18,Other Retail /Shopping,Other Retail /Shopping
Workplace_Type,19,"Other Personal Business (i.e. Bank, Automotive Dealer, Beauty Salon, etc.)","Other Personal Business (i.e. Bank, Automotive Dealer, Beauty Salon, etc.)"
Workplace_Type,20,Outdoor Park/Beach/Sports Field/Open Space,Outdoor Park/Beach/Sports Field/Open Space
Workplace_Type,22,Airport,Airport
Workplace_Type,96,Other,Other
Workplace_Type,98,Don’t Know,Dont Know
Workplace_Type,99,Refused,Refused
Home_Office,1,Yes,Yes
Home_Office,2,No,No
Home_Office,98,Don't Know,Dont Know
Home_Office,99,Refused,Refused
Primary_Occupation,1,Management Occupations,Management Occupations
Primary_Occupation,2,Business and Financial Operations Occupations,Business and Financial Operations Occupations
Primary_Occupation,3,Computer and Mathematical Occupations,Computer and Mathematical Occupations
Primary_Occupation,4,Architecture and Engineering Occupations,Architecture and Engineering Occupations
Primary_Occupation,5,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Occupations"
Primary_Occupation,6,Community and Social Service Occupations,Community and Social Service Occupations
Primary_Occupation,7,Legal Occupations,Legal Occupations
Primary_Occupation,8,Educational Instruction and Library Occupations,Educational Instruction and Library Occupations
Primary_Occupation,9,"Arts, Design, Entertainment, Sports, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations"
Primary_Occupation,10,Healthcare Practitioners and Technical Occupations,Healthcare Practitioners and Technical Occupations
Primary_Occupation,11,Healthcare Support Occupations,Healthcare Support Occupations
Primary_Occupation,12,Protective Service Occupations,Protective Service Occupations
Primary_Occupation,13,Food Preparation and Serving Related Occupations,Food Preparation and Serving Related Occupations
Primary_Occupation,14,Building and Grounds Cleaning and Maintenance Occupations,Building and Grounds Cleaning and Maintenance Occupations
Primary_Occupation,15,Personal Care and Service Occupations,Personal Care and Service Occupations
Primary_Occupation,16,Sales and Related Occupations,Sales and Related Occupations
Primary_Occupation,17,Office and Administrative Support Occupations,Office and Administrative Support Occupations
Primary_Occupation,18,"Farming, Fishing, and Forestry Occupations","Farming, Fishing, and Forestry Occupations"
Primary_Occupation,19,Construction and Extraction Occupations,Construction and Extraction Occupations
Primary_Occupation,20,"Installation, Maintenance, and Repair Occupations","Installation, Maintenance, and Repair Occupations"
