"TAZ","access_general_sov_attr","access_nearby_sov_attr","access_walk_attr","access_transit_attr","access_employment_sov_attr","access_general_sov","access_nearby_sov","access_walk","access_transit","access_employment_sov"
101,23083.40,5028.70,5.24554,23083.40,1915.00,13.4179,12.2136,3.9466,6.22485,11.8227
102,29488.60,6325.50,1.2932,29488.60,4829.00,13.2618,11.4155,3.82874,6.32114,11.7991
103,18975.70,4096.10,1.45781,18975.70,2617.00,13.2203,11.5692,3.70808,6.10417,11.7613
104,674,145.3,0.017363,674,89,13.2923,11.3722,4.04044,6.54769,11.8116
105,1235.60,297.4,3.7997,1235.60,81,13.3725,12.1488,3.85382,6.00901,11.8024
106,299.2,65.6,0.0250971,299.2,16,13.2169,11.3486,3.82936,6.01468,11.7758
107,816.9,175.1,0.0344666,816.9,107,13.2248,11.112,3.78543,6.59275,11.8007
108,8333.10,1688.70,0.0163117,8333.10,1793.00,13.3722,11.8457,3.87719,6.15791,11.8301
109,16325.20,3514.90,1.06643,16325.20,2474.00,13.2396,11.5525,3.80322,6.34603,11.776
110,1254.30,274.2,0.109618,1254.30,78,13.2651,11.1869,4.09371,6.64719,11.8088
111,5811.60,1253.00,0.424502,5811.60,475,13.2985,11.6337,3.85499,5.6553,11.7999
112,13411.90,2842.10,1.71945,13411.90,2033.00,13.4177,12.1612,3.90486,6.03002,11.8259
113,1386.50,307.3,0.703552,1386.50,100,13.2513,11.4962,3.83339,5.71884,11.7818
114,0.00,0.00,0.00,0.00,0.00,13.3559,12.1195,3.93268,6.37461,11.8028
115,3651.60,791.3,2.42256,3651.60,571,13.253,11.4469,3.85651,5.96271,11.7844
116,616.6,135.7,0.112971,616.6,41,13.1978,10.905,3.91675,6.7592,11.7963
117,2911.20,612.8,0.0728104,2911.20,409,13.3715,11.7312,3.89061,6.42592,11.8397
118,2389.80,540.2,5.23383,2389.80,186,13.2485,11.4318,3.76541,5.4199,11.7829
119,444.2,110.6,1.27968,444.2,11,13.2591,11.4808,3.87953,6.14644,11.7867
120,1187.70,257.4,0.0838015,1187.70,111,13.2421,11.4662,3.80307,5.5766,11.7849
121,377.4,80.5,0.0117586,377.4,36,13.2329,11.2731,3.74042,5.91684,11.7979
122,1010.90,218.1,0.035038,1010.90,137,13.1642,10.801,3.68219,6.50599,11.7976
123,8380.80,1804.40,0.26732,8380.80,1257.00,13.2952,11.5639,3.9959,6.3,11.8028
124,63.7,11.6,0.00222205,63.7,16,13.2521,11.0648,4.15617,6.80464,11.8082
125,936.6,218.9,1.43967,936.6,98,13.1896,10.8262,3.96803,6.4917,11.7955
126,9967.00,2186.00,2.49294,9967.00,544,13.3212,11.5297,3.75239,6.10201,11.8369
127,849.2,180.4,0.0984622,849.2,150,13.1739,11.1054,3.73228,5.43499,11.7628
128,4214.10,910.2,0.0836497,4214.10,556,13.1798,11.1245,3.72112,5.60696,11.7655
129,385.1,84.1,0.0125556,385.1,29,13.3215,11.6785,3.69731,6.11987,11.83
130,89.6,19.2,0.00,89.6,16,13.2875,11.4057,3.65383,6.08181,11.8367
131,855,163.4,0.438637,855,212,13.1874,11.1464,3.61961,5.57406,11.7856
132,909.2,133,0.641646,909.2,76,13.1158,10.922,3.62167,5.16239,11.7467
133,815.2,175.7,0.0267093,815.2,75,13.1773,11.1153,3.71946,5.78911,11.7658
134,3139.10,670.9,0.0625038,3139.10,444,13.0641,10.5859,3.46983,6.21538,11.7567
135,5265.60,1082.60,0.597559,5265.60,890,13.2822,11.5365,3.66016,6.18657,11.824
136,2357.30,477.3,0.130572,2357.30,346,13.1079,10.5494,3.62875,6.12465,11.7828
137,256.1,55.9,0.0146002,256.1,20,13.2384,11.0542,4.15608,6.2888,11.8004
138,1585.70,368.8,1.93359,1585.70,85,13.2819,11.3291,3.57993,5.95186,11.8417
139,5472.60,1150.90,0.0903546,5472.60,934,13.3102,11.7014,3.67657,6.32061,11.8272
140,1152.30,267.9,1.2285,1152.30,79,13.1609,10.6748,3.95934,6.27793,11.7862
141,1405.10,294.1,1.00975,1405.10,196,13.2889,11.3801,3.62593,6.28716,11.8375
142,24342.30,5199.40,0.0649488,24342.30,4324.00,13.213,11.2627,3.91672,5.82209,11.7823
143,6474.10,1370.20,0.72444,6474.10,990,13.1996,11.2997,3.51525,5.80271,11.7959
144,296.4,61.2,0.0397906,296.4,52,13.0568,10.8283,3.50785,5.12021,11.72
145,755.2,187.5,1.69101,755.2,29,13.0698,10.9126,3.47215,5.26382,11.723
146,774.3,166.2,0.864894,774.3,121,13.2059,10.9217,3.40017,5.88484,11.8325
147,2281.00,508.7,1.82041,2281.00,259,13.0574,10.8333,3.50255,4.92775,11.7228
148,1909.50,425.5,0.653816,1909.50,151,13.2079,10.9451,3.33983,6.04813,11.839
149,1377.70,302.6,0.29235,1377.70,163,13.0722,10.9035,3.50624,5.45491,11.725
150,941,184.4,0.00209002,941,220,12.9452,10.1294,2.68596,5.45783,11.7379
151,724.8,167.1,1.0381,724.8,80,13.2094,10.8902,3.26597,6.17069,11.8405
152,856.3,214.9,1.75485,856.3,37,13.1181,10.5395,3.72542,5.80083,11.7836
153,3000.60,641.3,0.360056,3000.60,492,12.9862,10.4669,3.27737,5.04848,11.7185
154,2519.10,540.6,0.24716,2519.10,348,13.0346,10.7614,3.46612,5.39671,11.7158
155,2850.80,599.2,0.796026,2850.80,440,13.2274,10.9996,3.3673,5.8886,11.8475
156,1376.00,296.7,0.0820152,1376.00,164,13.0728,10.404,3.10938,5.80449,11.7897
157,3583.10,777,0.56705,3583.10,492,12.9032,10.4091,3.10963,4.40554,11.67
158,1206.20,261,0.0463085,1206.20,89,13.0062,10.7186,3.27202,5.01337,11.7025
159,1112.10,229.7,0.0499455,1112.10,212,12.9816,10.617,3.31142,4.85099,11.6947
160,1054.80,230.4,0.681063,1054.80,139,12.9954,10.7497,3.30515,4.65572,11.6996
161,756.8,165.5,0.323296,756.8,104,12.9722,10.6347,3.22828,5.05712,11.6896
162,1607.20,354.5,0.554095,1607.20,145,13.1648,10.5539,3.2239,5.50791,11.8301
163,1871.30,390.1,0.076441,1871.30,355,13.2077,10.8255,3.07999,5.91231,11.8497
164,4924.40,1072.70,0.192017,4924.40,415,13.0244,10.7493,3.08959,4.8504,11.7134
165,883.1,226.1,1.83723,883.1,23,13.0687,10.5149,2.78038,5.72155,11.7918
166,3611.10,780.9,0.534255,3611.10,560,13.2193,10.941,3.12173,5.79712,11.8518
167,2842.10,532.9,0.0491109,2842.10,651,13.0445,10.4374,2.62026,5.78456,11.7818
168,6258.30,1350.80,0.770282,6258.30,1039.00,13.1958,10.8836,3.12452,5.50209,11.8439
169,1893.00,436.5,2.38073,1893.00,188,12.7523,10.302,2.71233,3.85556,11.6084
170,1750.40,390.2,0.640829,1750.40,93,13.1274,10.5587,2.97401,5.60801,11.8132
171,11093.50,2402.90,1.0779,11093.50,1088.00,13.0932,10.5695,2.74944,5.89592,11.7982
172,1965.70,439.7,1.50006,1965.70,215,12.82,10.4048,2.67054,4.01284,11.6376
173,129424.40,27739.00,0.436946,129424.40,22899.00,13.3372,11.5788,2.61764,4.89499,11.8852
174,5951.20,1272.00,0.00772655,5951.20,1057.00,13.0579,10.4469,2.26061,5.41182,11.8047
175,12203.10,2662.00,1.20991,12203.10,962,12.9148,10.3504,2.56316,4.41294,11.6772
176,2744.30,596.5,0.0866119,2744.30,265,13.1505,10.7256,2.21094,5.51118,11.844
177,1486.20,300.5,0.040157,1486.20,228,13.0057,10.3019,2.38838,5.53059,11.7727
178,11145.30,2377.70,1.47201,11145.30,1739.00,12.9499,10.1805,1.66118,4.85894,11.7708
179,1495.60,277.9,0.270656,1495.60,375,12.9418,10.108,2.19446,5.18587,11.7414
180,4581.30,930.4,0.213718,4581.30,728,13.0911,10.4829,1.78858,5.10838,11.8301
181,1860.20,343.6,0.0425407,1860.20,466,13.0052,10.1244,1.36078,5.27011,11.8037
182,183.4,38.8,0.0389159,183.4,30,13.0551,10.4596,1.63015,4.92847,11.8149
183,2266.00,488.5,0.151033,2266.00,181,13.1941,10.7155,2.12994,4.99045,11.8726
201,314.1,68.7,0.0103164,314.1,21,13.1635,10.5073,4.24315,6.49417,11.7813
202,1169.90,269.2,1.76353,1169.90,57,13.0734,10.1075,4.2852,5.91246,11.7309
203,1591.00,352.7,0.637308,1591.00,112,12.976,10.0659,4.12369,5.90405,11.6978
204,2417.60,505.5,0.443676,2417.60,457,12.9369,9.97929,3.51438,5.07684,11.7003
205,38.3,9.5,0.0884845,38.3,2,13.0315,9.84171,4.398,5.18259,11.6651
206,132927.40,883.2,104.955,132927.40,674,13.1538,9.99795,4.71926,5.15486,11.6632
207,108,18,0.00,108,36,12.9198,10.0239,3.31148,4.83602,11.695
208,977.8,202.1,0.430281,977.8,149,13.0754,10.3781,2.85632,5.04797,11.789
209,134.6,34.6,0.319518,134.6,3,13.0128,10.446,4.55655,6.00154,11.6349
