variable,name
B25046_001E,veh_tot
B11001_001E,hh_tot
B25044_003E,veh0
B25044_004E,veh1
B25044_005E,veh2
B25044_006E,veh3
B25044_007E,veh4
B25044_008E,veh5
B25044_010E,veh0
B25044_011E,veh1
B25044_012E,veh2
B25044_013E,veh3
B25044_014E,veh4
B25044_015E,veh5
B19001_002E,inc10
B19001_003E,inc15
B19001_004E,inc20
B19001_005E,inc25
B19001_006E,inc30
B19001_007E,inc35
B19001_008E,inc40
B19001_009E,inc45
B19001_010E,inc50
B19001_011E,inc60
B19001_012E,inc75
B19001_013E,inc100
B19001_014E,inc125
B19001_015E,inc150
B19001_016E,inc200
B19001_017E,inc200p
B19013_001E,inc_med
B01003_001E,total_pop
B25033_001E,hh_pop
B01001_003E,hh_child
B01001_004E,hh_child
B01001_005E,hh_child
B01001_006E,hh_child
B01001_027E,hh_child
B01001_028E,hh_child
B01001_029E,hh_child
B01001_030E,hh_child
B01001_020E,hh_senior
B01001_021E,hh_senior
B01001_022E,hh_senior
B01001_023E,hh_senior
B01001_024E,hh_senior
B01001_025E,hh_senior
B01001_044E,hh_senior
B01001_045E,hh_senior
B01001_046E,hh_senior
B01001_047E,hh_senior
B01001_048E,hh_senior
B01001_049E,hh_senior
