TAZ,access_nearby_sov,access_transit,access_walk,W_NHBW_sov_AM,W_NHBW_sov_MD,W_NHBW_sov_PM,W_NHBW_sov_NT,W_NHBW_hov2_AM,W_NHBW_hov2_MD,W_NHBW_hov2_PM,W_NHBW_hov2_NT,W_NHBW_hov3_AM,W_NHBW_hov3_MD,W_NHBW_hov3_PM,W_NHBW_hov3_NT,W_NHBW_auto_pay_AM,W_NHBW_auto_pay_MD,W_NHBW_auto_pay_PM,W_NHBW_auto_pay_NT,W_NHBW_walkbike_AM,W_NHBW_walkbike_MD,W_NHBW_walkbike_PM,W_NHBW_walkbike_NT,W_NHBW_t_AM,W_NHBW_t_MD,W_NHBW_t_PM,W_NHBW_t_NT,W_NHBO_sov_AM,W_NHBO_sov_MD,W_NHBO_sov_PM,W_NHBO_sov_NT,W_NHBO_hov2_AM,W_NHBO_hov2_MD,W_NHBO_hov2_PM,W_NHBO_hov2_NT,W_NHBO_hov3_AM,W_NHBO_hov3_MD,W_NHBO_hov3_PM,W_NHBO_hov3_NT,W_NHBO_walkbike_AM,W_NHBO_walkbike_MD,W_NHBO_walkbike_PM,W_NHBO_walkbike_NT,W_NHBO_t_AM,W_NHBO_t_MD,W_NHBO_t_PM,W_NHBO_t_NT,N_NHBSHP_sov_AM,N_NHBSHP_sov_MD,N_NHBSHP_sov_PM,N_NHBSHP_sov_NT,N_NHBSHP_hov2_AM,N_NHBSHP_hov2_MD,N_NHBSHP_hov2_PM,N_NHBSHP_hov2_NT,N_NHBSHP_hov3_AM,N_NHBSHP_hov3_MD,N_NHBSHP_hov3_PM,N_NHBSHP_hov3_NT,N_NHBSHP_auto_pay_AM,N_NHBSHP_auto_pay_MD,N_NHBSHP_auto_pay_PM,N_NHBSHP_auto_pay_NT,N_NHBSHP_walkbike_AM,N_NHBSHP_walkbike_MD,N_NHBSHP_walkbike_PM,N_NHBSHP_walkbike_NT,N_NHBSHP_t_AM,N_NHBSHP_t_MD,N_NHBSHP_t_PM,N_NHBSHP_t_NT,N_NHBO_sov_AM,N_NHBO_sov_MD,N_NHBO_sov_PM,N_NHBO_sov_NT,N_NHBO_hov2_AM,N_NHBO_hov2_MD,N_NHBO_hov2_PM,N_NHBO_hov2_NT,N_NHBO_hov3_AM,N_NHBO_hov3_MD,N_NHBO_hov3_PM,N_NHBO_hov3_NT,N_NHBO_auto_pay_AM,N_NHBO_auto_pay_MD,N_NHBO_auto_pay_PM,N_NHBO_auto_pay_NT,N_NHBO_walkbike_AM,N_NHBO_walkbike_MD,N_NHBO_walkbike_PM,N_NHBO_walkbike_NT,N_NHBO_t_AM,N_NHBO_t_MD,N_NHBO_t_PM,N_NHBO_t_NT
101,12.1462,6.22725,3.94661,51.1157,38.03,70.2711,71.4762,5.28821,4.94932,9.60876,10.1112,0.309257,0.265142,0.502496,0.526617,0.272116,0.249331,0.478161,0.506808,5.35592,2.95309,5.19084,4.84234,1.83419,1.64677,4.11597,3.34669,0.789725,1.23025,2.5766,2.8246,0.370965,0.347202,0.673965,0.70932,0.0966601,0.0904683,0.175611,0.184824,0.101417,0.0868515,0.175321,0.175861,0.230811,0.201819,0.450693,0.40932,54.1414,180.42,91.9061,84.254,29.0358,78.2688,33.1626,17.949,3.05506,27.2854,14.3663,12.88,0.199969,1.67399,0.84257,0.77383,2.22757,18.4067,9.77003,8.67578,1.1845,9.97487,5.79476,4.62637,40.7732,109.752,55.377,51.7682,44.3089,123.45,58.9227,47.7861,12.7057,35.819,15.4038,8.73847,2.19613,6.44994,3.57628,4.26229,1.12255,2.8681,1.23422,0.652374,1.09355,2.79892,1.24418,0.712775
102,11.317,6.32431,3.82875,75.7679,54.2099,99.5739,99.1078,5.65482,5.39559,10.5723,11.0413,0.364177,0.308468,0.586711,0.606915,0.291637,0.270967,0.524582,0.55182,0.792509,0.436966,0.768083,0.716515,2.08373,1.8879,4.5789,3.84361,-0.233289,0.689206,1.69486,2.00751,0.396693,0.378517,0.741578,0.774586,0.103364,0.098628,0.193229,0.201829,0.0154076,0.0131948,0.0266355,0.0267174,0.133775,0.120218,0.28467,0.244567,47.7219,137.19,68.6584,62.2408,32.1062,87.9901,37.3336,20.2061,0.51596,5.34933,2.84896,2.60102,0.0418125,0.349244,0.17691,0.161701,0.318918,2.63527,1.39877,1.2421,0.25612,2.16246,1.23946,1.00453,40.4511,110.797,55.4401,50.7386,43.4427,119.847,56.6427,44.8826,13.2755,36.7772,15.6508,8.54983,2.38946,6.38931,3.55763,4.25525,0.155966,0.398489,0.171481,0.0906399,0.262494,0.678041,0.33537,0.241999
103,11.3574,6.1059,3.70809,60.1557,41.4258,74.0011,76.5538,4.9939,4.54146,8.6563,9.29643,0.307879,0.251867,0.467767,0.498318,0.253217,0.225979,0.428511,0.460127,0.812482,0.447978,0.787439,0.734572,1.62259,1.4396,3.40653,2.93353,0.136857,0.794915,1.77255,2.04278,0.350321,0.318585,0.607169,0.652156,0.091281,0.0830118,0.158206,0.169929,0.016299,0.0139582,0.0281765,0.0282632,0.109705,0.0966856,0.222543,0.196789,39.225,112.803,56.8173,53.0319,25.0466,65.9178,27.7815,15.1488,0.947466,8.67908,4.5684,4.14774,0.0631598,0.521859,0.267605,0.241677,0.316441,2.6148,1.3879,1.23245,0.378399,3.16836,1.79727,1.47289,32.4031,85.1191,42.8132,40.5377,34.6568,92.2959,43.7374,35.7695,10.4498,27.9954,11.8642,6.59404,1.85636,4.98009,2.81326,3.39147,0.171363,0.437829,0.18841,0.0995881,0.242399,0.621493,0.298492,0.207336
104,11.28,6.55036,4.04045,13.5398,10.2877,19.1387,19.4734,1.45304,1.37749,2.68903,2.82567,0.0816487,0.0718657,0.137813,0.144003,0.0750593,0.0693709,0.134827,0.141566,0.0126829,0.00699299,0.012292,0.0114668,0.554671,0.506823,1.16153,1.0334,0.239468,0.355438,0.743312,0.811266,0.101938,0.0966394,0.188633,0.198239,0.0265614,0.0251808,0.049151,0.051654,0.00025132,0.000215226,0.000434463,0.000435799,0.0306552,0.0279922,0.0640768,0.0570714,5.47701,15.5411,8.6713,9.83374,2.98289,8.12892,3.44198,1.87235,0.0562574,0.56809,0.302303,0.275518,0.00449158,0.0375415,0.0195641,0.0173754,0.00503023,0.0415656,0.0220624,0.0195914,0.0274688,0.233402,0.130476,0.108436,4.67338,12.6905,7.14196,8.26252,4.65058,12.7246,6.59144,6.56531,1.23256,3.39778,1.44282,0.79354,0.333969,0.88361,0.570424,0.806555,0.00264498,0.00675785,0.00290809,0.00153713,0.0174618,0.0455758,0.0274452,0.0295949
105,12.0805,6.01105,3.85383,13.9645,10.5551,19.6138,20.0524,1.63123,1.50958,2.933,3.07989,0.0890862,0.0772983,0.147514,0.154548,0.0841794,0.076304,0.146881,0.155013,4.06084,2.23902,3.93568,3.67144,0.514905,0.46078,1.14077,0.936411,0.331576,0.426289,0.87591,0.944488,0.114433,0.105901,0.205731,0.216064,0.0298171,0.0275939,0.0536062,0.0562986,0.0779471,0.0667525,0.134749,0.135164,0.128464,0.111099,0.235785,0.225144,7.69048,21.0586,11.6631,12.9233,3.87377,10.3367,4.38498,2.36666,0.0408814,0.442402,0.237483,0.216879,0.00782547,0.0649653,0.0342245,0.0299435,1.68498,13.9233,7.39027,6.56256,0.0173867,0.146115,0.0842228,0.0678139,6.44587,17.1396,9.55021,10.7361,6.49352,17.3583,8.91512,8.62095,1.65647,4.45432,1.89341,1.02905,0.408009,1.07795,0.678225,0.949111,0.868872,2.21994,0.955304,0.504946,0.781466,1.99711,0.867777,0.47243
106,11.2566,6.01689,3.82936,6.76132,5.93501,11.3745,11.9677,1.29718,1.20687,2.33901,2.47861,0.0647638,0.0583123,0.111779,0.118567,0.0662496,0.0602172,0.115844,0.123079,0.0228244,0.0125847,0.0221209,0.0206358,0.409268,0.368497,0.885696,0.753076,0.486865,0.469585,0.917968,0.974706,0.0909938,0.0846614,0.164061,0.173875,0.0237097,0.0220597,0.0427484,0.0453056,0.000458574,0.000392715,0.000792747,0.000795186,0.0229706,0.0206564,0.0494538,0.0422047,4.60634,12.9944,7.3071,8.39913,2.44016,6.54538,2.76862,1.50999,0.0632004,0.606973,0.321717,0.29283,0.00450208,0.0373317,0.0191884,0.0173392,0.00906244,0.0748844,0.0397475,0.0352958,0.0260753,0.219311,0.124548,0.102184,3.90763,10.4378,5.93109,6.9861,3.86074,10.4105,5.43449,5.51594,1.01039,2.74778,1.16697,0.645279,0.27378,0.719849,0.461747,0.665227,0.0047467,0.0121277,0.00521888,0.00275855,0.01565,0.0403934,0.0234928,0.0234003
107,10.9043,6.59588,3.78545,15.0565,11.4919,21.4686,21.6996,1.65416,1.56588,3.067,3.19628,0.092379,0.0813901,0.156444,0.162409,0.0854602,0.0790631,0.153781,0.160633,0.0237954,0.0131201,0.023062,0.0215137,0.668602,0.603835,1.40762,1.22592,0.290851,0.414391,0.866597,0.934445,0.116047,0.109856,0.215143,0.22424,0.0302378,0.0286245,0.0560585,0.0584289,0.000467128,0.000400041,0.000807536,0.00081002,0.0371632,0.0335351,0.0780141,0.0680808,6.28721,17.7639,9.80128,10.6945,3.7797,10.2791,4.37479,2.35408,0.0635587,0.653701,0.349429,0.31693,0.00533924,0.0447403,0.0230084,0.0206726,0.00957131,0.0790893,0.0419794,0.0372777,0.0336599,0.284392,0.161093,0.131827,5.44472,14.7608,8.20134,9.11055,5.47286,14.9418,7.66324,7.31787,1.53008,4.20515,1.79473,0.975192,0.409749,1.08533,0.682468,0.948563,0.00473408,0.0120954,0.00520501,0.00275122,0.0238774,0.0619398,0.0367096,0.0374189
108,11.6706,6.16083,3.87721,41.5999,30.075,55.4278,55.2619,3.36534,3.20162,6.27928,6.53823,0.206484,0.177124,0.338212,0.349659,0.173981,0.161487,0.312808,0.328306,0.0135624,0.00747788,0.0131443,0.0122619,1.17105,1.06802,2.65082,2.17167,0.0358301,0.514101,1.1938,1.36135,0.236073,0.224596,0.440435,0.458664,0.0615123,0.0585216,0.114762,0.119511,0.000261631,0.000224056,0.000452287,0.000453679,0.0643746,0.0586925,0.14554,0.11934,22.0103,60.5703,31.5165,31.0555,13.4054,36.6192,15.5682,8.39227,-0.0166759,0.180412,0.109989,0.119911,0.00236575,0.0199143,0.0100663,0.00921803,0.00543019,0.0448705,0.0238166,0.0211492,0.0140155,0.11921,0.068949,0.0553406,18.8035,51.2759,26.7805,26.6337,19.7071,53.8565,26.2689,22.4466,5.62099,15.4133,6.55727,3.54031,1.10022,2.88477,1.68917,2.19989,0.00262264,0.00670077,0.00288353,0.00152415,0.0561767,0.147263,0.0862215,0.0802247
109,11.3433,6.34753,3.80322,54.683,36.6746,65.2483,66.5809,3.5511,3.2794,6.28745,6.7289,0.241836,0.194747,0.362048,0.381872,0.180166,0.163114,0.311755,0.332969,0.616314,0.339817,0.597318,0.557215,1.23934,1.11387,2.54111,2.2741,-0.507154,0.230223,0.702132,0.910238,0.249119,0.230061,0.441038,0.472059,0.0649116,0.0599456,0.114919,0.123002,0.0123403,0.010568,0.021333,0.0213986,0.0836528,0.0745106,0.166412,0.151895,22.6361,66.1246,34.1064,33.6639,13.7976,36.7834,15.4911,8.474,0.572568,5.28309,2.78154,2.52602,0.0381086,0.317701,0.164414,0.147167,0.234098,1.93439,1.02675,0.91175,0.234364,1.98102,1.11123,0.921574,18.6978,49.7367,25.7177,25.9467,19.6622,53.064,25.6619,22.2441,5.7573,15.6488,6.62937,3.70221,1.11977,3.03223,1.78042,2.25019,0.131177,0.335155,0.144226,0.0762339,0.169807,0.436426,0.208342,0.146903
110,11.0772,6.64887,4.09372,13.3459,11.0789,20.9705,21.7482,2.0116,1.91133,3.71646,3.92727,0.105491,0.0953283,0.182912,0.192882,0.103456,0.0958172,0.185298,0.195939,0.0864126,0.0476453,0.0837492,0.0781265,0.794168,0.725868,1.66325,1.483,0.60773,0.656738,1.30805,1.39968,0.141124,0.134092,0.260705,0.275525,0.0367719,0.0349396,0.0679305,0.071792,0.00171008,0.00146448,0.00295625,0.00296535,0.0456292,0.0415782,0.094758,0.0849127,8.70106,25.8085,13.9685,15.0436,5.06355,13.8224,5.84008,3.18834,0.211509,1.98809,1.04882,0.951813,0.0151042,0.125974,0.0651904,0.0583889,0.033977,0.280757,0.149022,0.132332,0.0946156,0.803229,0.450011,0.3737,7.3119,19.9061,10.8705,12.0511,7.42622,20.4953,10.3512,9.84512,2.08092,5.79519,2.4629,1.37231,0.519437,1.40545,0.873947,1.19668,0.018439,0.0471113,0.0202733,0.0107159,0.0406821,0.105556,0.0571433,0.0522744
