"Field","Count","Sum","Minimum","Maximum","Mean","Std. Dev."
"N_HBO_m",527588,231592.27,0.0186258,1.83945,0.438964,0.317572
"N_HBO_bike",527588,3800.93,4.06238e-05,0.046248,0.00720434,0.00581895
"N_HBO_walk",527588,15366.53,7.94915e-05,0.604809,0.029126,0.0387827
"W_HBW_m",527588,252114.56,0.00581339,2.24832,0.477863,0.526825
"W_HBW_bike",527588,10858.45,0.00,0.388365,0.0205813,0.0356163
"W_HBW_walk",527588,10448.27,0.00,0.747144,0.0198038,0.0483761
"W_HBO_m",527588,116247.57,0.000654883,1.25339,0.220338,0.26356
"W_HBO_bike",527588,2918.30,0.00,0.115084,0.00553139,0.0110263
"W_HBO_walk",527588,2867.62,0.00,0.175185,0.00543534,0.0120923
"N_HBSCH_m",527588,81360.21,0.000520763,1.00931,0.154212,0.308962
"N_HBSCH_bike",527588,638.673,0.00,0.0489097,0.00121055,0.00303481
"N_HBSCH_walk",527588,10858.03,0.00,0.817477,0.0205805,0.0612023
"N_HBSHP_m",527588,208631.20,0.0763896,1.69251,0.395443,0.303992
"N_HBSHP_bike",527588,5000.77,0.00,0.147816,0.00947854,0.0196814
"N_HBSHP_walk",527588,16497.54,0.00,0.949819,0.0312697,0.0787701
"N_HBSR_m",527588,230838.55,0.0223327,1.88282,0.437536,0.302398
"N_HBSR_bike",527588,4083.54,0.00,0.188013,0.00774001,0.0127942
"N_HBSR_walk",527588,24182.40,1.23777e-06,1.24912,0.0458358,0.0839543
