"TAZ","Type","HH","HH_POP","GQPop","Median_Inc","Pct_Worker","Pct_Child","Pct_Senior","HHOF1","HHOF2","HHOF3","HHOF4","HHOF5","HHOF6","HHOF7","Elem","High","College","StudGQ_UNR","StudOff_UNR","BuildingS_UNR","NAICS11","NAICS21","NAICS22","NAICS23","NAICS31","NAICS32","NAICS33","NAICS42","NAICS44","NAICS45","NAICS48","NAICS49","NAICS51","NAICS52","NAICS53","NAICS54","NAICS55","NAICS56","NAICS61","NAICS62","NAICS71","NAICS72","NAICS81","NAICS92","NAICS99","HotelRms","AWDT","IEEI_Distance","PCT_AUTO_EE","PCT_AUTO_IEEI","PCT_TRK_EE","PCT_TRK_IEEI","Industry","Office","Service_RateHigh","Service_RateLow","Retail","K12","PctHighPay","Enplanements","TotalEmp","Density","AreaType","ATSmoothed","EmpDensity","Cluster","ClusterName","Industry_EL","Industry_EH","Office_EL","Office_EH","Retail_EL","Retail_EH","Service_RateLow_EL","Service_RateLow_EH","Service_RateHigh_EL","Service_RateHigh_EH","walkability_attr","gs_home_attr","gs_work_attr","gs_other_attr","gs_total_attr","GSIndex","ApproachDensity","walk_attr_dens","IndEmpDensity","ApproachDensity_z","IndEmpDensity_z","walk_attr_dens_z","GSIndex_z","Walkability","wHH","wK12","wCollege","wRetail","wTotalEmp","access_general_sov_attr","access_nearby_sov_attr","access_walk_attr","access_transit_attr","access_employment_sov_attr","access_general_sov","access_nearby_sov","access_walk","access_transit","access_employment_sov","PctNearBusStop","PKTNCWait","OPTNCWait","AirportProd"
101,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,1,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0.00,0.00,155,800,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,46.5,109.5,803,0.00,21.7742,0,959,198855.03,"Downtown",1,126649.29,1,"Downtown Reno",0.00,0.00,0.00,0.00,628.153,174.847,85.6573,23.8427,36.375,10.125,15889.70,0.00,1438.50,14451.20,15889.70,0.164669,396.192,2098455.85,0.00,2.10409,-0.294607,4.43361,-2.24598,0.295031,0.00,0.00,0.00,236.91,282.934,15889.70,3479.50,1.72067,15889.70,959,13.5018,12.3128,4.53284,6.43732,11.7005,1,6.43392,2.93392,
102,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,778,4015.00,2,0.00,0.00,0.00,,,,,,,0.00,0.00,233.4,546.6,4015.00,0.00,37.931,0,4795,1035888.76,"Downtown",1,659749.83,1,"Downtown Reno",0.00,0.00,0.00,0.00,2492.07,1522.93,339.269,207.331,144.869,88.531,79448.50,0.00,7192.50,72256.00,79448.50,0.164669,0.00,10931414.96,0.00,-0.362952,-0.294607,23.8145,-2.24598,0.962951,0.00,0.00,0.00,3866.25,4617.35,79448.50,17397.50,28.0806,79448.50,4795.00,13.4051,11.9062,4.4987,6.44425,11.6869,1,6.64927,3.14927,
103,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,0.00,0.00,389,2012.00,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,116.7,274.3,2012.00,0.00,40.8367,0,2403,524021.19,"Downtown",1,333745.19,1,"Downtown Reno",0.00,0.00,0.00,0.00,1190.37,821.633,162.285,112.015,69.0436,47.6564,39814.00,0.00,3604.50,36209.50,39814.00,0.164674,0.00,5529642.57,0.00,-0.362952,-0.294607,11.9622,-2.24594,0.619816,0.00,0.00,0.00,1247.07,1489.42,39814.00,8718.40,9.05746,39814.00,2403.00,13.301,11.7805,4.52999,6.51766,11.6307,1,6.89279,3.39279,
104,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,2,3,28,0.00,0.00,22,0.00,0.00,0.00,0.00,0.00,0.00,2,9,0.00,0.00,0.00,0.00,,,,,,,31,0.00,0.6,23.4,14,0.00,45.3125,0,69,7373.25,"Downtown",1,4695.97,1,"Downtown Reno",16.9531,14.0469,0.00,0.00,7.65625,6.34375,12.7969,10.6031,0.328125,0.271875,489.2,0.00,103.5,385.7,489.2,0.333616,748.633,33293.74,2109.78,4.29869,1.54832,-0.0976792,-0.765701,0.199676,0.00,0.00,0.00,2.79546,13.7776,489.2,101.7,0.0203034,489.2,69,13.3796,11.5487,4.55648,6.77077,11.7073,1,6.70775,3.20775,
105,"Internal",407,600,0.00,96406.00,68.8333,2.5,28.6667,263,114,15,11,4,0.00,0.00,0.00,0.00,0.00,,11,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,1,13,7,0.00,0.00,0.00,1,1,8,21,0.00,0.00,234,,,,,,,0.00,0.00,0.5,45.5,8,0.00,64.9254,0,54,78157.74,"Downtown",1,6163.26,1,"Downtown Reno",0.00,0.00,0.00,0.00,2.80597,5.19403,15.959,29.541,0.175373,0.324627,1180.50,2645.50,81,1099.50,3826.00,0.438859,456.538,436678.34,0.00,2.47985,-0.294607,0.787409,0.15642,0.204304,83.1517,0.00,0.00,1.63443,11.0324,1180.50,291.5,3.13363,1180.50,54,13.4193,12.1255,4.48725,6.20993,11.6687,1,6.61691,3.11691,5.9987
106,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,6,0.00,0.00,0.00,921,,,,,,,0.00,0.00,0.3,0.7,6,0.00,0.00,0,7,1373.74,"Downtown",1,874.925,1,"Downtown Reno",0.00,0.00,0.00,0.00,6,0.00,0.7,0.00,0.3,0.00,117.8,0.00,10.5,107.3,117.8,0.162378,999.914,14723.74,0.00,5.86339,-0.294607,-0.138425,-2.26605,0.208548,0.00,0.00,0.00,1.25129,1.45984,117.8,25.8,0.00908811,117.8,7,13.3296,11.7521,4.45589,6.30806,11.6623,1,6.8247,3.3247,
107,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,20,0.00,0.00,0.00,0.00,0.00,14,75,2,0.00,0.00,0.00,,,,,,,0.00,0.00,4.2,37.8,75,0.00,24.2424,0,117,12879.13,"Downtown",1,8202.62,1,"Downtown Reno",0.00,0.00,0.00,0.00,56.8182,18.1818,28.6364,9.16364,3.18182,1.01818,1637.70,0.00,175.5,1462.20,1637.70,0.191357,981.51,114815.69,0.00,5.74879,-0.294607,0.0811927,-2.01215,0.219437,0.00,0.00,0.00,16.4577,25.6741,1637.70,357.9,0.119533,1637.70,117,13.2779,11.3101,4.47466,6.78921,11.6762,1,6.9486,3.4486,
108,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,1,0.00,24,0.00,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,0.00,9,10,20,5,0.00,0.00,168,865,38,49,0.00,180,,,,,,,15,86,50.4,174.6,865,0.00,31.7191,0,1191,192849.59,"Downtown",1,122824.47,1,"Downtown Reno",10.2421,4.75787,58.7215,27.2785,590.63,274.37,119.218,55.3816,34.4136,15.9864,17738.50,0.00,1786.50,16175.60,17962.10,0.179134,825.017,1852380.69,1546.91,4.77433,1.05664,3.89368,-2.11924,0.366014,0.00,0.00,0.00,316.602,435.922,17738.50,3867.00,2.29948,17738.50,1191.00,13.4946,12.2323,4.43871,6.31828,11.7002,1,6.44975,2.94975,
109,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,256,1321.00,2296.00,0.00,0.00,0.00,,,,,,,0.00,0.00,76.8,2475.20,1321.00,0.00,41.8546,0,3873,1266709.06,"Downtown",1,806757.56,1,"Downtown Reno",0.00,0.00,0.00,0.00,768.1,552.9,1439.21,1035.99,44.6556,32.1444,38993.90,0.00,5809.50,33184.40,38993.90,0.253577,0.00,8122546.79,0.00,-0.362952,-0.294607,17.6514,-1.46699,0.871693,0.00,0.00,0.00,1151.51,3376.07,38993.90,8478.50,8.36339,38993.90,3873.00,13.3657,11.9524,4.3826,6.55265,11.6674,1,6.73996,3.23996,
110,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,47,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,2.7,6.3,50,0.00,14.8148,0,59,11494.12,"Downtown",1,7320.52,1,"Downtown Reno",0.00,0.00,0.00,0.00,42.5926,7.40741,5.36667,0.933333,2.3,0.4,985.4,0.00,88.5,896.9,985.4,0.16349,992.613,122265.06,0.00,5.81792,-0.294607,0.0975377,-2.25631,0.216751,0.00,0.00,0.00,10.8376,12.7883,985.4,215.8,0.0787132,985.4,59,13.3639,11.4695,4.56097,6.89346,11.7141,1,6.74419,3.24419,
111,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,15,0.00,0.00,0.00,0.00,0.00,11,0.00,3,0.00,0.00,18,0.00,0.00,0.00,9,0.00,38,195,41,0.00,0.00,0.00,,,,,,,10.5,7.5,15,91,206,0.00,13.6364,0,330,93722.26,"Downtown",1,59691.01,1,"Downtown Reno",9.06818,1.43182,6.47727,1.02273,177.909,28.0909,78.5909,12.4091,12.9545,2.04545,4499.80,0.00,495,4024.30,4519.30,0.195067,0.00,817459.37,1899.26,-0.362952,1.36443,1.6229,-1.97965,0.130878,0.00,0.00,0.00,26.9608,43.1897,4499.80,980.8,0.195816,4499.80,330,13.3387,11.7094,4.44349,6.00015,11.6637,1,6.80322,3.30322,
112,"Internal",82,121,0.00,22146.00,65.2893,3.30579,31.405,56,17,5,4,0.00,0.00,0.00,0.00,0.00,0.00,,5,,3,0.00,0.00,42,0.00,0.00,0.00,0.00,15,1,0.00,0.00,47,2,24,62,5,9,0.00,0.00,181,934,29,0.00,0.00,0.00,,,,,,,24,35,54.3,290.7,950,0.00,24.1935,0,1354,200488.66,"Downtown",1,120813.54,1,"Downtown Reno",18.1935,5.80645,26.5323,8.46774,720.161,229.839,220.369,70.3306,41.1629,13.1371,20029.80,533,2031.00,18089.80,20653.80,0.222537,267.681,1842879.35,2141.45,1.30387,1.57599,3.87283,-1.73896,0.255847,20.9794,0.00,0.00,243.054,346.416,20029.80,4379.50,2.55293,20029.80,1354.00,13.4905,12.2942,4.4931,6.2224,11.6934,1,6.45857,2.95857,14.6464
113,"Internal",64,97,0.00,96406.00,77.3196,4.12371,18.5567,39,20,3,1,1,0.00,0.00,0.00,0.00,0.00,,2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,0.00,0.00,0.00,15,0.00,0.00,2,0.00,0.00,11,62,0.00,0.00,0.00,0.00,,,,,,,0.00,2,3.3,22.7,64,0.00,14.876,0,92,27719.99,"Downtown",1,10562.12,1,"Downtown Reno",0.00,0.00,1.70248,0.297521,54.4793,9.52066,19.3231,3.37686,2.80909,0.490909,1470.00,416,138,1337.20,1891.20,0.44635,688.834,217120.50,0.00,3.92633,-0.294607,0.305665,0.222055,0.226194,14.4764,0.00,0.00,14.4764,20.8098,1470.00,326.6,0.648629,1470.00,92,13.3056,11.5933,4.40324,5.97535,11.6513,1,6.88177,3.38177,1.70938
114,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,9.09091,0,0,0.00,"Downtown",1,0.00,1,"Downtown Reno",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,-0.362952,-0.294607,-0.170731,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.544,12.7244,4.44838,6.60786,11.7018,1,6.34344,2.84344,
115,"Internal",94,144,0.00,45625.00,81.9444,5.55556,12.5,56,31,2,5,0.00,0.00,0.00,0.00,0.00,0.00,,2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,8,0.00,0.00,0.00,0.00,88,453,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,26.4,72.6,453,0.00,72.2222,0,552,124068.91,"Downtown",1,67760.44,1,"Downtown Reno",0.00,0.00,0.00,0.00,125.833,327.167,20.1667,52.4333,7.33333,19.0667,9204.10,611,828,8376.10,9815.10,0.260735,1964.07,1204846.99,0.00,11.8671,-0.294607,2.47289,-1.40427,0.588063,55.2779,0.00,0.00,266.392,324.611,9204.10,2023.10,4.01011,9204.10,552,13.3395,11.7056,4.37989,6.20609,11.6673,1,6.80127,3.30127,10.0927
116,"Internal",12,19,0.00,40313.00,68.4211,10.5263,21.0526,7,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,0.00,0.00,0.00,0.00,2,0.00,0.00,0.00,0.00,0.00,3,20,5,0.00,0.00,91,,,,,,,0.00,0.00,0.9,9.1,26,0.00,50,0,36,5674.43,"Downtown",1,2704.81,1,"Downtown Reno",0.00,0.00,0.00,0.00,13,13,4.55,4.55,0.45,0.45,565,78,54,511,643,0.346664,525.936,48310.95,0.00,2.91199,-0.294607,-0.0647291,-0.651376,0.169311,2.03173,0.00,0.00,4.40208,6.09518,565,124.6,0.108249,565,36,13.2411,11.0283,4.34674,6.97756,11.6911,1,7.03875,3.53875,0.630266
117,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,38,0.00,0.00,83,142,227,6,0.00,1,59,3,36,185,21,54,0.00,0.00,,,,,,,0.00,55,35,542,226,0.00,72.8916,0,858,71155.69,"Downtown",1,45318.53,1,"Downtown Reno",0.00,0.00,14.9096,40.0904,61.2651,164.735,146.928,395.072,9.48795,25.512,7622.40,0.00,1287.00,6478.40,7765.40,0.276534,422.55,410159.09,0.00,2.26822,-0.294607,0.729222,-1.26584,0.169871,0.00,0.00,0.00,38.3909,145.75,7622.40,1646.50,0.278833,7622.40,858,13.4598,12.0605,4.43917,6.61201,11.7038,1,6.52611,3.02611,
