"TAZ","Type","HH","HH_POP","GQPop","Median_Inc","Pct_Worker","Pct_Child","Pct_Senior","HHOF1","HHOF2","HHOF3","HHOF4","HHOF5","HHOF6","HHOF7","Elem","High","College","StudGQ_UNR","StudOff_UNR","BuildingS_UNR","NAICS11","NAICS21","NAICS22","NAICS23","NAICS31","NAICS32","NAICS33","NAICS42","NAICS44","NAICS45","NAICS48","NAICS49","NAICS51","NAICS52","NAICS53","NAICS54","NAICS55","NAICS56","NAICS61","NAICS62","NAICS71","NAICS72","NAICS81","NAICS92","NAICS99","HotelRms","AWDT","IEEI_Distance","PCT_AUTO_EE","PCT_AUTO_IEEI","PCT_TRK_EE","PCT_TRK_IEEI","Industry","Office","Service_RateHigh","Service_RateLow","Retail","K12","PctHighPay","Enplanements"
101,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,1,0.00,0.00,0.00,0.00,1,0.00,0.00,0.00,0.00,0.00,155,800,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,46.5,109.5,803,0.00,21.7742,0
102,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,778,4015.00,2,0.00,0.00,0.00,,,,,,,0.00,0.00,233.4,546.6,4015.00,0.00,37.931,0
103,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,0.00,0.00,389,2012.00,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,116.7,274.3,2012.00,0.00,40.8367,0
104,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,2,3,28,0.00,0.00,22,0.00,0.00,0.00,0.00,0.00,0.00,2,9,0.00,0.00,0.00,0.00,,,,,,,31,0.00,0.6,23.4,14,0.00,45.3125,0
105,"Internal",407,600,0.00,96406.00,68.8333,2.5,28.6667,263,114,15,11,4,0.00,0.00,0.00,0.00,0.00,,11,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,1,13,7,0.00,0.00,0.00,1,1,8,21,0.00,0.00,234,,,,,,,0.00,0.00,0.5,45.5,8,0.00,64.9254,0
106,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,6,0.00,0.00,0.00,921,,,,,,,0.00,0.00,0.3,0.7,6,0.00,0.00,0
107,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,20,0.00,0.00,0.00,0.00,0.00,14,75,2,0.00,0.00,0.00,,,,,,,0.00,0.00,4.2,37.8,75,0.00,24.2424,0
108,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,1,0.00,24,0.00,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,0.00,9,10,20,5,0.00,0.00,168,865,38,49,0.00,180,,,,,,,15,86,50.4,174.6,865,0.00,31.7191,0
109,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,256,1321.00,2296.00,0.00,0.00,0.00,,,,,,,0.00,0.00,76.8,2475.20,1321.00,0.00,41.8546,0
110,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9,47,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,2.7,6.3,50,0.00,14.8148,0
111,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,15,0.00,0.00,0.00,0.00,0.00,11,0.00,3,0.00,0.00,18,0.00,0.00,0.00,9,0.00,38,195,41,0.00,0.00,0.00,,,,,,,10.5,7.5,15,91,206,0.00,13.6364,0
112,"Internal",82,121,0.00,22146.00,65.2893,3.30579,31.405,56,17,5,4,0.00,0.00,0.00,0.00,0.00,0.00,,5,,3,0.00,0.00,42,0.00,0.00,0.00,0.00,15,1,0.00,0.00,47,2,24,62,5,9,0.00,0.00,181,934,29,0.00,0.00,0.00,,,,,,,24,35,54.3,290.7,950,0.00,24.1935,0
113,"Internal",64,97,0.00,96406.00,77.3196,4.12371,18.5567,39,20,3,1,1,0.00,0.00,0.00,0.00,0.00,,2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,0.00,0.00,0.00,15,0.00,0.00,2,0.00,0.00,11,62,0.00,0.00,0.00,0.00,,,,,,,0.00,2,3.3,22.7,64,0.00,14.876,0
114,"Internal",0.00,0.00,0.00,89930.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,9.09091,0
115,"Internal",94,144,0.00,45625.00,81.9444,5.55556,12.5,56,31,2,5,0.00,0.00,0.00,0.00,0.00,0.00,,2,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,8,0.00,0.00,0.00,0.00,88,453,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,26.4,72.6,453,0.00,72.2222,0
