inc_ratio,incL,incML,incMH,incH
0.5,0.2793,0.4878,0.2012,0.0317
0.51,0.2724,0.4883,0.2073,0.032
0.52,0.2657,0.4884,0.2134,0.0325
0.53,0.2592,0.4883,0.2194,0.0331
0.54,0.2528,0.4882,0.2253,0.0337
0.55,0.2465,0.4879,0.2311,0.0345
0.56,0.2404,0.4875,0.2367,0.0354
0.57,0.2345,0.4867,0.2424,0.0364
0.58,0.2287,0.486,0.2479,0.0374
0.59,0.223,0.4851,0.2533,0.0386
0.6,0.2175,0.4841,0.2586,0.0398
0.61,0.2121,0.4829,0.2638,0.0412
0.62,0.2068,0.4816,0.269,0.0426
0.63,0.2017,0.4801,0.274,0.0442
0.64,0.1967,0.4785,0.279,0.0458
0.65,0.1918,0.4768,0.2839,0.0475
0.66,0.1871,0.475,0.2886,0.0493
0.67,0.1824,0.4732,0.2933,0.0511
0.68,0.1779,0.4711,0.2979,0.0531
0.69,0.1735,0.469,0.3024,0.0551
0.7,0.1692,0.4667,0.3069,0.0572
0.71,0.1651,0.4643,0.3112,0.0594
0.72,0.161,0.462,0.3154,0.0616
0.73,0.1571,0.4593,0.3196,0.064
0.74,0.1533,0.4566,0.3237,0.0664
0.75,0.1495,0.4541,0.3276,0.0688
0.76,0.1459,0.4512,0.3315,0.0714
0.77,0.1424,0.4482,0.3354,0.074
0.78,0.139,0.4452,0.3391,0.0767
0.79,0.1357,0.4422,0.3427,0.0794
0.8,0.1324,0.4391,0.3463,0.0822
0.81,0.1293,0.4359,0.3497,0.0851
0.82,0.1263,0.4326,0.3531,0.088
0.83,0.1233,0.4293,0.3564,0.091
0.84,0.1205,0.4259,0.3596,0.094
0.85,0.1177,0.4225,0.3627,0.0971
0.86,0.115,0.4189,0.3658,0.1003
0.87,0.1124,0.4153,0.3688,0.1035
0.88,0.1099,0.4117,0.3716,0.1068
0.89,0.1075,0.408,0.3744,0.1101
0.9,0.1051,0.4044,0.3771,0.1134
0.91,0.1028,0.4005,0.3798,0.1169
0.92,0.1006,0.3968,0.3823,0.1203
0.93,0.0985,0.3929,0.3848,0.1238
0.94,0.0964,0.389,0.3872,0.1274
0.95,0.0944,0.3851,0.3895,0.131
0.96,0.0925,0.3811,0.3918,0.1346
0.97,0.0906,0.3771,0.394,0.1383
0.98,0.0889,0.3731,0.396,0.142
0.99,0.0871,0.3691,0.398,0.1458
1,0.0855,0.365,0.3999,0.1496
1.01,0.0839,0.3609,0.4018,0.1534
1.02,0.0823,0.3568,0.4036,0.1573
1.03,0.0808,0.3527,0.4053,0.1612
1.04,0.0794,0.3486,0.4069,0.1651
1.05,0.078,0.3445,0.4084,0.1691
1.06,0.0767,0.3403,0.4099,0.1731
1.07,0.0754,0.3362,0.4113,0.1771
1.08,0.0742,0.332,0.4126,0.1812
1.09,0.073,0.3278,0.4139,0.1853
1.1,0.0719,0.3237,0.415,0.1894
1.11,0.0708,0.3195,0.4161,0.1936
1.12,0.0698,0.3153,0.4172,0.1977
1.13,0.0688,0.3112,0.4181,0.2019
1.14,0.0678,0.307,0.4191,0.2061
1.15,0.0669,0.3029,0.4198,0.2104
1.16,0.0661,0.2987,0.4206,0.2146
1.17,0.0652,0.2946,0.4213,0.2189
1.18,0.0644,0.2905,0.4219,0.2232
1.19,0.0637,0.2864,0.4224,0.2275
1.2,0.0629,0.2823,0.423,0.2318
1.21,0.0623,0.2782,0.4234,0.2361
1.22,0.0616,0.2742,0.4237,0.2405
1.23,0.061,0.2702,0.4239,0.2449
1.24,0.0604,0.2662,0.4242,0.2492
1.25,0.0598,0.2622,0.4244,0.2536
1.26,0.0593,0.2582,0.4245,0.258
1.27,0.0587,0.2543,0.4245,0.2625
1.28,0.0582,0.2504,0.4245,0.2669
1.29,0.0578,0.2466,0.4243,0.2713
1.3,0.0573,0.2427,0.4243,0.2757
1.31,0.0569,0.2389,0.424,0.2802
1.32,0.0565,0.2351,0.4238,0.2846
1.33,0.0561,0.2314,0.4234,0.2891
1.34,0.0558,0.2277,0.4229,0.2936
1.35,0.0554,0.2241,0.4225,0.298
1.36,0.0551,0.2204,0.422,0.3025
1.37,0.0548,0.2169,0.4214,0.3069
1.38,0.0545,0.2133,0.4208,0.3114
1.39,0.0542,0.2098,0.4201,0.3159
