avg_workers,wrk0,wrk1,wrk2,wrk3
0,0.9972,0.0014,0,0.0014
0.01,0.9872,0.0128,0,0
0.02,0.9759,0.0241,0,0
0.03,0.9638,0.0351,0.0011,0
0.04,0.9515,0.046,0.0025,0
0.05,0.9395,0.0566,0.0039,0
0.06,0.9276,0.0671,0.0053,0
0.07,0.9159,0.0774,0.0067,0
0.08,0.9043,0.0875,0.0082,0
0.09,0.893,0.0974,0.0096,0
0.1,0.8818,0.1071,0.0111,0
0.11,0.8707,0.1167,0.0126,0
0.12,0.8599,0.126,0.0141,0
0.13,0.8492,0.1352,0.0156,0
0.14,0.8387,0.1442,0.0171,0
0.15,0.8283,0.153,0.0187,0
0.16,0.8181,0.1616,0.0203,0
0.17,0.808,0.1701,0.0219,0
0.18,0.7981,0.1784,0.0235,0
0.19,0.7884,0.1865,0.0251,0
0.2,0.7789,0.1944,0.0267,0
0.21,0.7694,0.2022,0.0284,0
0.22,0.7601,0.2098,0.0301,0
0.23,0.751,0.2172,0.0318,0
0.24,0.742,0.2245,0.0335,0
0.25,0.7332,0.2316,0.0352,0
0.26,0.7245,0.2386,0.0369,0
0.27,0.716,0.2453,0.0387,0
0.28,0.7076,0.2519,0.0405,0
0.29,0.6993,0.2584,0.0423,0
0.3,0.6912,0.2647,0.0441,0
0.31,0.6832,0.2709,0.0459,0
0.32,0.6754,0.2768,0.0478,0
0.33,0.6676,0.2827,0.0497,0
0.34,0.66,0.2884,0.0516,0
0.35,0.6526,0.2939,0.0535,0
0.36,0.6453,0.2993,0.0554,0
0.37,0.6382,0.3045,0.0573,0
0.38,0.6311,0.3096,0.0593,0
0.39,0.6241,0.3146,0.0613,0
0.4,0.6173,0.3194,0.0633,0
0.41,0.6107,0.324,0.0653,0
0.42,0.6042,0.3285,0.0673,0
0.43,0.5977,0.3329,0.0694,0
0.44,0.5913,0.3372,0.0715,0
0.45,0.5851,0.3413,0.0736,0
0.46,0.579,0.3453,0.0757,0
0.47,0.5731,0.3491,0.0778,0
0.48,0.5673,0.3528,0.0799,0
