purpose,tod,pa_fac
N_HBO,AM,0.7239818995526326
N_HBO,MD,0.5445538066410472
N_HBO,PM,0.41597739942796924
N_HBO,NT,0.4621817009821001
N_HBSCH,AM,1
N_HBSCH,MD,0.20177438269876455
N_HBSCH,PM,0.010758661539927642
N_HBSCH,NT,0.8625983135654498
N_HBSHP,AM,0.7091025131837235
N_HBSHP,MD,0.4185336429502877
N_HBSHP,PM,0.4558549070172766
N_HBSHP,NT,0.44423671667217085
N_HBSR,AM,0.9192237804200021
N_HBSR,MD,0.5627409236230315
N_HBSR,PM,0.48443421752526566
N_HBSR,NT,0.3155882744525415
W_HBO,AM,0.9941905029627508
W_HBO,MD,0.5467442652887906
W_HBO,PM,0.04231243149398492
W_HBO,NT,0.1110788876389941
W_HBW,AM,0.9950503074443736
W_HBW,MD,0.6786982914059493
W_HBW,PM,0.10642009547368791
W_HBW,NT,0.5062815891037042
