orig_taz,dest_taz,auto,truck
3001,3001,0,0
3001,3002,14.283094,0
3001,3003,29.226074,0.000004
3001,3004,8.022912,8.099542
3001,3005,0,0
3001,3006,150.62645,196.435303
3001,3007,103.166573,0.000003
3001,3008,0,0
3001,3009,34.148773,0.000001
3001,3010,9.440016,0.758144
3001,3011,377.903137,0.000001
3001,3012,4.051774,0.014318
3002,3001,17.703131,0
3002,3002,0,0
3002,3003,0.823482,0
3002,3004,0,0
3002,3005,0,0
3002,3006,3.096034,4.746096
3002,3007,12.195008,0
3002,3008,0,0
3002,3009,4.817683,0
3002,3010,1.743466,0.164591
3002,3011,46.385448,0
3002,3012,0,0
3003,3001,38.982822,0.000003
3003,3002,1.178656,0
3003,3003,0,0
3003,3004,0,0
3003,3005,0,0
3003,3006,5.414132,35.689613
3003,3007,29.79768,0.000004
3003,3008,1.122876,0
3003,3009,16.969925,0.000002
3003,3010,8.538097,3.466049
3003,3011,184.553009,0.000003
3003,3012,2.497806,0.044617
3004,3001,3.672455,1.866977
3004,3002,0,0
3004,3003,0.347348,1.822366
3004,3004,0,0
3004,3005,0,0
3004,3006,0,0
3004,3007,0,0
3004,3008,0,0
3004,3009,0,0
3004,3010,0,0
3004,3011,2.128823,0.236512
3004,3012,0,0
3005,3001,0,0
3005,3002,0,0
3005,3003,0,0
3005,3004,0,0
3005,3005,0,0
3005,3006,3.117856,5.382297
3005,3007,16.883923,0.000001
3005,3008,12.14993,0
3005,3009,0,0
3005,3010,0,0
3005,3011,0,0
3005,3012,0,0
3006,3001,207.62738,258.393494
3006,3002,4.366998,5.895802
3006,3003,3.37777,43.382584
3006,3004,0,0
3006,3005,4.935286,5.908852
3006,3006,0,0
3006,3007,9.260903,22.309969
3006,3008,181.058182,27.076113
3006,3009,3.392432,6.457157
3006,3010,0,0
3006,3011,85.405396,23.228054
3006,3012,0,0
3007,3001,68.82045,0.000001
3007,3002,7.037085,0
3007,3003,33.821236,0.000005
3007,3004,0,0
3007,3005,13.746387,0
3007,3006,13.058552,16.977528
3007,3007,0,0
3007,3008,13.315756,0
3007,3009,0.986756,0
3007,3010,0,0
3007,3011,12.166387,0
3007,3012,0,0
3008,3001,1.412546,0
3008,3002,0,0
3008,3003,3.44126,0
3008,3004,0,0
3008,3005,11.158795,0
3008,3006,146.390137,18.433443
3008,3007,2.246423,0
3008,3008,0,0
3008,3009,0,0
3008,3010,0,0
3008,3011,2.516423,0
3008,3012,0,0
3009,3001,34.840572,0.000001
3009,3002,4.092758,0
3009,3003,27.541172,0.00001
3009,3004,0,0
3009,3005,0,0
3009,3006,1.835572,6.375852
3009,3007,0,0
3009,3008,0,0
3009,3009,0,0
3009,3010,0,0
3009,3011,2.171732,0
3009,3012,0,0
3010,3001,6.707399,0.000001
3010,3002,1.124497,0
3010,3003,3.466691,0.000003
3010,3004,0,0
3010,3005,0,0
3010,3006,0.672439,5.115566
3010,3007,0,0
3010,3008,0,0
3010,3009,0,0
3010,3010,0,0
3010,3011,15.728312,0
3010,3012,18.742893,0.386368
3011,3001,402.182953,0.000002
3011,3002,54.907684,0
3011,3003,178.221298,0.000007
3011,3004,7.356443,2.093515
3011,3005,0,0
3011,3006,45.50507,16.728533
3011,3007,7.39799,0
3011,3008,0,0
3011,3009,0,0
3011,3010,8.95566,0.202748
3011,3011,0,0
3011,3012,20.22496,0.020147
3012,3001,1.610669,0
3012,3002,1.099451,0
3012,3003,1.63426,0
3012,3004,0,0
3012,3005,0,0
3012,3006,5.448133,0.397077
3012,3007,0,0
3012,3008,0,0
3012,3009,0,0.00E+00
3012,3010,8.979972,0.040305
3012,3011,25.616446,0
3012,3012,0,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
