Alternative,Expression,Segment,Coefficient,Description
v0,Constant,,0,Constant
v1,"min(hh.HHWorkers,4)",,0.8053,Workers
v1,"min(hh.HHNWAdults,4)",,0.215,Non-working adults
v1,"min(hh.HHSeniors,2)",,0.2503,Seniors
v1,se.access_walk.O,,0.2337,Walk access
v1,se.access_transit.O,,-0.2709,Transit access
v1,se.access_nearby_sov.O,,-0.2165,Nearby access
v1,se.Walkability.O,,0,Walkability (intrazonal)
v1,hh.Income1,,-0.916,Income Category 1 HHs
v1,hh.Income2,,0,Income Category 2 HHs
v1,hh.Income3,,1.2763,Income Category 3 HHs
v1,hh.Income4,,2.1382,Income Category 4 HHs
v1,Constant,,2.5805,Constant
v2,"min(hh.HHWorkers,4)",,1.6088,Workers
v2,"min(hh.HHNWAdults,4)",,0.6018,Non-working adults
v2,"min(hh.HHSeniors,2)",,0.2503,Seniors
v2,se.access_walk.O,,0.1593,Walk access
v2,se.access_transit.O,,-0.4277,Transit access
v2,se.access_nearby_sov.O,,-0.2165,Nearby access
v2,se.Walkability.O,,0,Walkability (intrazonal)
v2,hh.Income1,,-2.0206,Income Category 1 HHs
v2,hh.Income2,,0,Income Category 2 HHs
v2,hh.Income3,,1.8908,Income Category 3 HHs
v2,hh.Income4,,3.2641,Income Category 4 HHs
v2,Constant,,1.3252,Constant
v3,"min(hh.HHWorkers,4)",,2.0975,Workers
v3,"min(hh.HHNWAdults,4)",,0.7527,Non-working adults
v3,"min(hh.HHSeniors,2)",,0.6857,Seniors
v3,se.access_walk.O,,0.1593,Walk access
v3,se.access_transit.O,,-0.6085,Transit access
v3,se.access_nearby_sov.O,,-0.513,Nearby access
v3,se.Walkability.O,,0,Walkability (intrazonal)
v3,hh.Income1,,-2.0557,Income Category 1 HHs
v3,hh.Income2,,0,Income Category 2 HHs
v3,hh.Income3,,1.7812,Income Category 3 HHs
v3,hh.Income4,,2.9638,Income Category 4 HHs
v3,Constant,,1.9032,Constant
v4,"min(hh.HHWorkers,4)",,2.1095,Workers
v4,"min(hh.HHNWAdults,4)",,0.632,Non-working adults
v4,"min(hh.HHSeniors,2)",,0.9051,Seniors
v4,se.access_walk.O,,0.1593,Walk access
v4,se.access_transit.O,,-0.6085,Transit access
v4,se.access_nearby_sov.O,,-0.6589,Nearby access
v4,se.Walkability.O,,0,Walkability (intrazonal)
v4,hh.Income1,,-1.7831,Income Category 1 HHs
v4,hh.Income2,,0,Income Category 2 HHs
v4,hh.Income3,,1.7812,Income Category 3 HHs
v4,hh.Income4,,3.5767,Income Category 4 HHs
v4,Constant,,2.1977,Constant
v1,Constant,,-0.4245,Calibration constant
v2,Constant,,-0.8112,Calibration constant
v3,Constant,,-0.9183,Calibration constant
v4,Constant,,-1.2053,Calibration constant
