Cluster,ClusterName,Theta,ASC,IC,Calibrated_DeltaASC,Calibrated_DeltaIC
1,Downtown Reno,1.000,-1.690,0.657,0,0
2,University,1.000,-1.690,0.657,0,0
3,Midtown,1.000,-1.060,0.589,0,0
7,Airport,0.620,1.530,0.962,0,0
4,West - NorthWest,0.725,0.558,0.483,0,0
5,Sparks - D'Andrea,0.643,1.230,0.928,0,0
6,NW Reno - Skyline,0.527,1.900,0.502,0,0
8,East Reno - Meadowood,0.750,0.918,0.608,0,0
9,Virginia - Galena,1.000,-0.709,1.900,0,0
10,North Reno - Sparks,0.905,0.867,0.208,0,0
11,Palomina - North Valley,0.613,0.330,1.970,0,0
12,Verdi - Mogul - Somerset,0.613,0.330,1.970,0,0
13,East Truckee,1.000,0,0,0,0
15,Rural Spring Mt,1.000,0,0,0,0
14,Mt Rose,1.000,0,0,0,0
