Cluster,ClusterName,Theta,ASC,IC,Calibrated_DeltaASC,Calibrated_DeltaIC
1,Downtown Reno,1,0,0.000266,0,0
2,University,1,1,0.0000193,0,0
3,Midtown,1,0,0,0,0
7,Airport,1,0.00171,0,0,0
4,West - NorthWest,1,0,0,0,0
5,Sparks - D'Andrea,1,0.00834,0.000402,0,0
6,NW Reno - Skyline,1,0.00261,-0.000422,0,0
8,East Reno - Meadowood,1,0.00643,0.00111,0,0
9,Virginia - Galena,1,0.00154,0,0,0
10,North Reno - Sparks,1,0.00145,-0.00074,0,0
11,Palomina - North Valley,0.981,0,0,0,0
12,Verdi - Mogul - Somerset,0.981,0,0,0,0
13,East Truckee,1,0,0,0,0
15,Rural Spring Mt,0.932,0,-0.00761,0,0
14,Mt Rose,1,0,0,0,0
