Cluster,ClusterName,Theta,ASC,IC,Calibrated_DeltaASC,Calibrated_DeltaIC
1,Downtown Reno,1,0,0,0,0
2,University,1,0,0,0,0
3,Midtown Reno,1,0,0,0,0
4,West Reno - Northwest Reno,1,0,0,0,0
5,West Sparks,1,0,0,0,0
6,Caughlin Ranch - Skyline,1,0,0,0,0
7,Airport,1,0,0,0,0
8,Northwest Reno,1,0,0,0,0
9,Bartley Ranch - Meadowood,1,0,0,0,0
10,North Reno - Golden Valley,1,0,0,0,0
11,Hidden Valley - East Reno,1,0,0,0,0
12,D'Andrea - Vista,1,0,0,0,0
13,Verdi-Mogul-Somersett,1,0,0,0,0
14,North Sparks,1,0,0,0,0
15,Southwest Reno - Galena,1,0,0,0,0
16,North Valleys,1,0,0,0,0
17,Virginia City - Geiger Grade,1,0,0,0,0
18,Mt. Rose Wilderness - Washoe Valley,1,0,0,0,0
19,Palomina Valley - RSIC,1,0,0,0,0
20,Rural Reno - Spring Mountain,1,0,0,0,0
21,East Truckee River Canyon,1,0,0,0,0
