avg_size,siz1,siz2,siz3,siz4
1,0.9257,0,0.0194,0.0549
1.01,0.9259,0,0.0202,0.053900000000000003
1.02,0.9259,0,0.021,0.0531
1.03,0.9245,0.0014,0.0218,0.0523
1.04,0.9173,0.0086,0.0226,0.0515
1.05,0.9101,0.0157,0.0234,0.0508
1.06,0.9029,0.0228,0.0242,0.0501
1.07,0.8958,0.0297,0.025,0.0495
1.08,0.8887,0.0366,0.0258,0.0489
1.09,0.8817,0.0433,0.0267,0.0483
1.1,0.8747,0.05,0.0275,0.0478
1.11,0.8676,0.0566,0.0284,0.0474
1.12,0.8608,0.0631,0.0292,0.0469
1.13,0.8537,0.0696,0.0301,0.0466
1.14,0.8469,0.0759,0.031,0.0462
1.15,0.84,0.0822,0.0319,0.0459
1.16,0.8332,0.0884,0.0327,0.0457
1.17,0.8265,0.0945,0.0336,0.0454
1.18,0.8197,0.1005,0.0345,0.0453
1.19,0.8131,0.1064,0.0354,0.0451
1.2,0.8064,0.1123,0.0363,0.045
1.21,0.7996,0.1181,0.0373,0.045
1.22,0.7931,0.1238,0.0382,0.0449
1.23,0.7865,0.1294,0.0391,0.045
1.24,0.78,0.135,0.04,0.045
1.25,0.7735,0.1404,0.041,0.0451
1.26,0.7671,0.1458,0.0419,0.0452
1.27,0.7606,0.1512,0.0428,0.0454
1.28,0.7542,0.1564,0.0438,0.0456
1.29,0.7477,0.1616,0.0448,0.0459
1.3,0.7415,0.1667,0.0457,0.0461
1.31,0.7351,0.1717,0.0467,0.0465
1.32,0.729,0.1766,0.0476,0.0468
1.33,0.7227,0.1815,0.0486,0.0472
1.34,0.7165,0.1863,0.0496,0.0476
1.35,0.7103,0.191,0.0506,0.0481
1.36,0.7043,0.1956,0.0516,0.0485
1.37,0.6981,0.2002,0.0526,0.0491
1.38,0.6922,0.2047,0.0535,0.0496
1.39,0.6861,0.2092,0.0545,0.0502
1.4,0.6802,0.2135,0.0555,0.0508
1.41,0.6741,0.2178,0.0566,0.0515
1.42,0.6682,0.222,0.0576,0.0522
1.43,0.6623,0.2262,0.0586,0.0529
1.44,0.6565,0.2303,0.0596,0.0536
1.45,0.6507,0.2343,0.0606,0.0544
1.46,0.645,0.2382,0.0616,0.0552
1.47,0.6392,0.2421,0.0627,0.056
1.48,0.6335,0.2459,0.0637,0.0569
1.49,0.6278,0.2497,0.0647,0.0578
1.5,0.6223,0.2533,0.0657,0.0587
1.51,0.6165,0.257,0.0668,0.0597
