Purpose,Segment,sov,hov2,hov3,transit,auto_pay,shuttle,school_bus
w_hbw,v0,0,9.8,12.8,25,17.6,34.8,0
w_hbw,ilvi,51.5,32,2.5,1.25,5.35,7.4,0
w_hbw,ilvs,91.6,5.1,1.3,0,1.1,0.9,0
w_hbw,ihvi,72.5,9,0.75,0.05,17,0.7,0
w_hbw,ihvs,91.3,6.4,0.1,0,2.2,0,0
w_hbo,v0,0,30.2,16,45,8.8,0,0
w_hbo,vi,77.4,8.3,5.8,0.4,8.1,0,0
w_hbo,vs,63.2,29.5,6,0.2,1.1,0,0
n_hbo,v0,0,37.5,2.4,20,40.1,0,0
n_hbo,vi,34.4,38.3,24.7,0.35,2.25,0,0
n_hbo,vs,46.3,31.2,22.3,0.2,0,0,0
n_hbsr,v0,0,30.4,14.6,40,15,0,0
n_hbsr,vi,14.5,45.1,39.4,0.25,0.75,0,0
n_hbsr,vs,47.6,39,12.8,0,0.6,0,0
n_hbshp,v0,0,17.8,16.9,40,25.3,0,0
n_hbshp,vi,13.8,56.7,27.6,0.2,1.7,0,0
n_hbshp,vs,50.5,34,15.3,0.2,0,0,0
n_hbsch,v0,0,47.1,4.9,40,0,0,8
n_hbsch,vi,0,16.1,28.5,0.4,0,0,55
n_hbsch,vs,7,49.6,27.5,0.4,0,0,25.5
