Alternative,Expression,Segment,Coefficient,Description
sov,Constant,,1.7,Constant
sov,Constant,v0,-99,Auto Availability
sov,Constant,vs,0.652,Vehicle sufficient households
sov,sov_skim.CongTime,,-0.006,Travel time
sov,sov_skim.[TollCostSOV (Skim)],,-0.022,Toll cost
sov,sov_skim.[Length (Skim)],,-0.0022,Auto Operating Cost
hov2,Constant,,1.94,Constant
hov2,hov_skim.CongTime,,-0.006,Travel time
hov2,hov_skim.[TollCostHOV (Skim)],,-0.011,Toll cost
hov2,hov_skim.[Length (Skim)],,-0.0011,Auto Operating Cost
hov3,Constant,,1.61,Constant
hov3,hov_skim.CongTime,,-0.006,Travel time
hov3,hov_skim.[TollCostHOV (Skim)],,-0.0067,Toll cost
hov3,hov_skim.[Length (Skim)],,-0.007,Auto Operating Cost
auto_pay,se.OPTNCWait.O,,-0.0393,TNC Wait
auto_pay,hov_skim.CongTime,,-0.006,Travel time
auto_pay,hov_skim.auto_pay_fare,,-0.022,Auto fare
w_lb,Constant,,-0.906,Constant
w_lb,Constant,v0,2.79,Zero-vehicle households
w_lb,se.LowIncomePct.O,,1.05,Low Income
w_lb,w_lb_skim.[In-Vehicle Time],,-0.006,IVTT
w_lb,w_lb_skim.Fare,,-0.0303,Transit fare
w_lb,w_lb_skim.[Access Walk Time],,-0.015,Access walk time
w_lb,w_lb_skim.[Egress Walk Time],,-0.015,Egress walk time
w_lb,w_lb_skim.[Transfer Walk Time],,-0.015,Transfer walk time
w_lb,w_lb_skim.[Initial Wait Time],,-0.012,Initial wait time
w_lb,w_lb_skim.[Transfer Wait Time],,-0.012,Transfer wait time
w_lb,w_lb_skim.[Dwelling Time],,-0.006,Dwell Time
w_eb,Constant,,-0.906,Constant
w_eb,Constant,v0,2.79,Zero-vehicle households
w_eb,se.LowIncomePct.O,,1.05,Low Income
w_eb,w_eb_skim.[In-Vehicle Time],,-0.006,IVTT
w_eb,w_eb_skim.Fare,,-0.0303,Transit fare
w_eb,w_eb_skim.[Access Walk Time],,-0.015,Access walk time
w_eb,w_eb_skim.[Egress Walk Time],,-0.015,Egress walk time
w_eb,w_eb_skim.[Transfer Walk Time],,-0.015,Transfer walk time
w_eb,w_eb_skim.[Initial Wait Time],,-0.012,Initial wait time
w_eb,w_eb_skim.[Transfer Wait Time],,-0.012,Transfer wait time
w_eb,w_eb_skim.[Dwelling Time],,-0.006,Dwell Time
knr_lb,Constant,,-0.906,Constant
