Alternative,Expression,Segment,Coefficient,Description
sov,Constant,,-2.05,Constant
sov,Constant,v0,-99,Auto Availability
sov,Constant,vi,-99,Auto Availability
sov,sov_skim.CongTime,,-0.029,Travel time
hov2,Constant,,-1.04,Constant
hov2,hov_skim.CongTime,,-0.029,Travel time
hov3,Constant,,-0.922,Constant
hov3,hov_skim.CongTime,,-0.029,Travel time
school_bus,Constant,,-1.26,Constant
school_bus,sov_skim.CongTime,,-0.092,Travel time
school_bus,Constant,vi,1.08,Vehicle insufficient households
w_lb,Constant,v0,3.09,Zero-vehicle households
w_lb,w_lb_skim.[In-Vehicle Time],,-0.029,IVTT
w_lb,w_lb_skim.Fare,,-0.1462,Transit fare
w_lb,w_lb_skim.[Access Walk Time],,-0.0725,Access walk time
w_lb,w_lb_skim.[Egress Walk Time],,-0.0725,Egress walk time
w_lb,w_lb_skim.[Transfer Walk Time],,-0.0725,Transfer walk time
w_lb,w_lb_skim.[Initial Wait Time],,-0.058,Initial wait time
w_lb,w_lb_skim.[Transfer Wait Time],,-0.058,Transfer wait time
w_lb,w_lb_skim.[Dwelling Time],,-0.029,Dwell Time
hov2,Constant,v0,-0.638173,Additional Calibration Constant
hov3,Constant,v0,-2.344855,Additional Calibration Constant
school_bus,Constant,v0,-1.709996,Additional Calibration Constant
hov2,Constant,vi,-0.508695,Additional Calibration Constant
hov3,Constant,vi,-0.225593,Additional Calibration Constant
school_bus,Constant,vi,0.034519,Additional Calibration Constant
sov,Constant,vs,-0.226357,Additional Calibration Constant
hov2,Constant,vs,0.131554,Additional Calibration Constant
hov3,Constant,vs,-0.401933,Additional Calibration Constant
school_bus,Constant,vs,-0.494422,Additional Calibration Constant
