Alternative,Expression,Segment,Coefficient,Description
sov,Constant,,1.09,Constant
sov,Constant,v0,-99,Auto Availability
sov,Constant,vs,1.15,Vehicle sufficient households
sov,sov_skim.CongTime,,-0.0121,Travel time
sov,sov_skim.[TollCostSOV (Skim)],,-0.0442,Toll cost
sov,sov_skim.[Length (Skim)],,-0.00442,Auto Operating Cost
hov2,Constant,,1.84,Constant
hov2,hov_skim.CongTime,,-0.0121,Travel time
hov2,hov_skim.[TollCostHOV (Skim)],,-0.0221,Toll cost
hov2,hov_skim.[Length (Skim)],,-0.00221,Auto Operating Cost
hov3,Constant,,1.72,Constant
hov3,hov_skim.CongTime,,-0.0121,Travel time
hov3,hov_skim.[TollCostHOV (Skim)],,-0.0134,Toll cost
hov3,hov_skim.[Length (Skim)],,-0.00134,Auto Operating Cost
auto_pay,Constant,v0,3.21,Zero-vehicle households
auto_pay,hov_skim.CongTime,,-0.0439,Travel time
auto_pay,hov_skim.auto_pay_fare,,-0.1606,Auto fare
w_lb,Constant,,-1.11,Constant
w_lb,Constant,v0,3.44,Zero-vehicle households
w_lb,se.LowIncomePct.O,,1.46,Low Income
w_lb,Constant,vi,0.847,Vehicle insufficient households
w_lb,w_lb_skim.[In-Vehicle Time],,-0.0121,IVTT
w_lb,w_lb_skim.Fare,,-0.061,Transit fare
w_lb,w_lb_skim.[Access Walk Time],,-0.0303,Access walk time
w_lb,w_lb_skim.[Egress Walk Time],,-0.0303,Egress walk time
w_lb,w_lb_skim.[Transfer Walk Time],,-0.0303,Transfer walk time
w_lb,w_lb_skim.[Initial Wait Time],,-0.0242,Initial wait time
w_lb,w_lb_skim.[Transfer Wait Time],,-0.0242,Transfer wait time
w_lb,w_lb_skim.[Dwelling Time],,-0.0121,Dwell Time
w_eb,Constant,,-1.11,Constant
w_eb,Constant,v0,3.44,Zero-vehicle households
w_eb,se.LowIncomePct.O,,1.46,Low Income
w_eb,Constant,vi,0.847,Vehicle insufficient households
w_eb,w_eb_skim.[In-Vehicle Time],,-0.0121,IVTT
w_eb,w_eb_skim.Fare,,-0.061,Transit fare
w_eb,w_eb_skim.[Access Walk Time],,-0.0303,Access walk time
w_eb,w_eb_skim.[Egress Walk Time],,-0.0303,Egress walk time
w_eb,w_eb_skim.[Transfer Walk Time],,-0.0303,Transfer walk time
w_eb,w_eb_skim.[Initial Wait Time],,-0.0242,Initial wait time
w_eb,w_eb_skim.[Transfer Wait Time],,-0.0242,Transfer wait time
w_eb,w_eb_skim.[Dwelling Time],,-0.0121,Dwell Time
knr_lb,Constant,,-1.11,Constant
knr_lb,Constant,v0,3.44,Zero-vehicle households
knr_lb,se.LowIncomePct.O,,1.46,Low Income
knr_lb,Constant,vi,0.847,Vehicle insufficient households
knr_lb,knr_lb_skim.[In-Vehicle Time],,-0.0121,IVTT
knr_lb,knr_lb_skim.Fare,,-0.061,Transit fare
knr_lb,knr_lb_skim.[Access Drive Time],,-0.0121,Access drive time
knr_lb,knr_lb_skim.[Egress Walk Time],,-0.0303,Egress walk time
knr_lb,knr_lb_skim.[Transfer Walk Time],,-0.0303,Transfer walk time
knr_lb,knr_lb_skim.[Initial Wait Time],,-0.0242,Initial wait time
knr_lb,knr_lb_skim.[Transfer Wait Time],,-0.0242,Transfer wait time
knr_lb,knr_lb_skim.[Dwelling Time],,-0.0121,Dwell Time
knr_eb,Constant,,-1.11,Constant
knr_eb,Constant,v0,3.44,Zero-vehicle households
knr_eb,se.LowIncomePct.O,,1.46,Low Income
knr_eb,Constant,vi,0.847,Vehicle insufficient households
knr_eb,knr_eb_skim.[In-Vehicle Time],,-0.0121,IVTT
knr_eb,knr_eb_skim.Fare,,-0.061,Transit fare
knr_eb,knr_eb_skim.[Access Drive Time],,-0.0121,Access drive time
knr_eb,knr_eb_skim.[Egress Walk Time],,-0.0303,Egress walk time
knr_eb,knr_eb_skim.[Transfer Walk Time],,-0.0303,Transfer walk time
