term,estimated_as,estimate,std.error,statistic,p.value
N_HBO_sov,N_HBO_sov,0.23835264420842175,0.016055464187480693,14.845577893305515,0
N_HBSHP_hov2,N_HBSHP_auto,0.11297690070086695,0.011812949931327508,9.563817789598547,0
N_HBSHP_hov3,N_HBSHP_auto,0.11297690070086695,0.011812949931327508,9.563817789598547,0
N_HBSHP_sov,N_HBSHP_auto,0.11297690070086695,0.011812949931327508,9.563817789598547,0
N_HBSR_hov2,N_HBSR_auto,0.0838801379854838,0.011495575421444072,7.296732430549945,0
N_HBSR_hov3,N_HBSR_auto,0.0838801379854838,0.011495575421444072,7.296732430549945,0
N_HBSR_sov,N_HBSR_auto,0.0838801379854838,0.011495575421444072,7.296732430549945,0
alpha,NA,0.0037958008014196184,0.6392115353324613,-10.869504900409103,0
gamma,NA,2.5523211319638075,0.28856144041407883,8.844983336308854,0
r_sq,NA,0.4549424307270354,NA,NA,NA
