type,factor
N_hov2_AM,0.692498
N_hov3_AM,1.558426
N_sov_AM,0.566726
N_t_AM,0.8388795
N_walkbike_AM,1.252268
N_auto_pay_MD,1.146612
N_hov2_MD,1.294944
N_hov3_MD,1.005142
N_sov_MD,1.413196
N_t_MD,2.204535
N_walkbike_MD,3.007154
N_auto_pay_NT,2.188132
N_hov2_NT,1.945518
N_hov3_NT,2.051362
N_sov_NT,0.40561
N_t_NT,0.997716
N_walkbike_NT,1.076206
N_auto_pay_PM,2.687648
N_hov2_PM,1.44572
N_hov3_PM,2.510552
N_sov_PM,0.67539
N_t_PM,0.9509745
N_walkbike_PM,0.495756
W_auto_pay_AM,0.496226
W_hov2_AM,0.732354
W_hov3_AM,1.876522
W_sov_AM,0.495662
W_t_AM,0.2060715
W_walkbike_AM,0.410028
W_auto_pay_MD,5.576832
W_hov2_MD,2.570994
W_hov3_MD,3.66412
W_sov_MD,2.422474
W_t_MD,1.4905815
W_walkbike_MD,5.069984
W_auto_pay_NT,3.358526
W_hov2_NT,0.359456
W_hov3_NT,1.455308
W_sov_NT,0.356448
W_t_NT,1.5833595
W_walkbike_NT,1.944202
W_auto_pay_PM,5.114634
W_hov2_PM,1.256686
W_hov3_PM,4.41142
W_sov_PM,0.999878
W_t_PM,0.556245
W_walkbike_PM,1.970616
N_auto_pay_AM,0.94
