Alternative,Expression,Segment,Coefficient,Description
motorized,Constant,,0,
bike,person.HHKids,,-0.145,Kids in HH
bike,person.veh_per_adult,,-0.4945,HH vehicles per adult
bike,Constant,,-3.6,Estimated constant
bike,Constant,,0.023,Calibration constant
walk,person.HHKids,,-0.145,Kids in HH
walk,person.veh_per_adult,,-0.4945,HH vehicles per adult
walk,se.access_walk.O,,0.4985,Interzonal walk accessiblity
walk,person.is_senior,,-0.8264,Person is a senior
walk,Constant,,-2.93,Estimated constant
walk,Constant,,0.3,Calibration constant
