trip_type,tod,pa_fac
N_HB_K12_All,AM,0.86783234
N_HB_K12_All,MD,0.255641616
N_HB_K12_All,PM,0.18682551
N_HB_K12_All,NT,0.813996973
N_HB_OD_Long,AM,0.848430629
N_HB_OD_Long,MD,0.560767236
N_HB_OD_Long,PM,0.502443419
N_HB_OD_Long,NT,0.369861327
N_HB_OD_Short,AM,0.679711518
N_HB_OD_Short,MD,0.55896541
N_HB_OD_Short,PM,0.436232044
N_HB_OD_Short,NT,0.446417479
N_HB_OME_All,AM,0.685963467
N_HB_OME_All,MD,0.466604279
N_HB_OME_All,PM,0.450921182
N_HB_OME_All,NT,0.322328266
W_HB_EK12_All,AM,0.984377025
W_HB_EK12_All,MD,0.309787025
W_HB_EK12_All,PM,0.004246387
W_HB_EK12_All,NT,0.836162583
W_HB_O_All,AM,0.996796523
W_HB_O_All,MD,0.463575237
W_HB_O_All,PM,0.017192036
W_HB_O_All,NT,0.200396932
W_HB_W_All,AM,0.996074791
W_HB_W_All,MD,0.622820122
W_HB_W_All,PM,0.066383716
W_HB_W_All,NT,0.637896608
