trip_type,rate,factor
BNLBSOV,0.569968078,BLB_SOV
BNLBHOV,0.679957976,BLB_HOV
BNLBTNC,0.824921998,BLB_TNC
BNLBBUS,0.225477745,BLB_BUS
BNLBWLK,1.223158215,BLB_WLK
TNLBSOV,0.60522166,TLBES_SOV
TNLBHOV,0.722014637,TLBES_HOV
TNLBTNC,0.875944951,TLBES_TNC
TNLBBUS,0.239423961,TLBES_BUS
TNLBWLK,1.298812815,TLBES_WLK
TNLBSOV,0.842214195,TLBGD_SOV
TNLBHOV,1.004740934,TLBGD_HOV
TNLBTNC,1.21894724,TLBGD_TNC
TNLBBUS,0.333177531,TLBGD_BUS
TNLBWLK,1.807401589,TLBGD_WLK
TNLBSOV,0.538059609,TLBOTH_SOV
TNLBHOV,0.641891953,TLBOTH_HOV
TNLBTNC,0.778740467,TLBOTH_TNC
TNLBBUS,0.212854845,TLBOTH_BUS
TNLBWLK,1.154682263,TLBOTH_WLK
