origin_dist,dest_dist,obs
1,1,493
1,10,77
1,11,29
1,12,195
1,13,45
1,14,170
1,15,40
1,16,273
1,17,75
1,18,62
1,19,6
1,2,9
1,20,2
1,21,1
1,22,47
1,23,246
1,24,29
1,26,36
1,27,18
1,28,31
1,29,36
1,3,40
1,4,35
1,5,51
1,6,20
1,8,9
1,9,3
10,1,57
10,10,157
10,11,9
10,12,24
10,13,5
10,14,7
10,15,16
10,16,19
10,17,6
10,18,3
10,19,1
10,2,1
10,23,31
10,24,10
10,26,26
10,27,6
10,29,1
10,3,8
10,4,1
10,5,4
10,6,1
10,7,1
10,8,1
11,1,97
11,10,41
11,11,62
11,12,43
11,13,15
11,14,143
11,15,12
11,16,63
11,17,9
11,18,4
11,19,18
11,2,8
11,20,7
11,21,1
11,22,1
11,23,70
11,24,7
11,26,16
11,27,25
11,28,1
11,3,13
11,30,8
11,4,12
11,5,21
11,6,16
11,8,4
11,9,2
12,1,254
12,10,63
12,11,28
12,12,575
12,13,61
12,14,70
12,15,102
12,16,66
12,17,37
12,18,28
12,19,8
12,2,4
12,20,12
12,22,11
12,23,268
12,24,5
12,25,1
12,26,33
12,27,10
12,28,16
12,29,1
12,3,7
12,4,12
12,5,23
12,6,43
12,8,4
12,9,1
13,1,456
13,10,77
13,11,50
13,12,104
13,13,115
13,14,73
13,15,10
13,16,333
13,17,14
13,18,20
13,19,1
13,2,9
13,21,1
13,22,5
13,23,104
13,26,79
13,27,25
13,28,6
13,3,4
13,30,1
13,4,13
13,5,10
13,6,6
13,8,9
13,9,1
14,1,304
14,10,52
14,11,27
14,12,150
14,13,20
14,14,1104
14,15,42
14,16,293
14,17,17
14,18,26
14,19,69
14,2,33
14,20,4
14,21,1
14,22,4
14,23,117
14,24,10
14,26,63
14,27,58
14,28,4
14,29,5
14,3,138
14,30,5
14,4,352
14,5,12
14,6,11
14,7,11
14,8,2
14,9,16
15,1,390
15,10,46
15,11,53
15,12,327
15,13,32
15,14,99
15,15,428
15,16,185
15,17,56
15,18,40
15,19,1
15,2,3
15,22,5
15,23,345
15,24,22
15,26,62
15,27,19
15,28,54
15,29,2
15,3,4
15,4,19
15,5,21
15,6,45
15,7,2
15,8,10
15,9,9
16,1,192
16,10,19
16,11,13
16,12,29
16,13,10
16,14,35
16,15,7
16,16,441
16,17,6
16,18,1
16,19,1
16,2,6
16,20,2
16,22,2
16,23,42
16,26,23
16,27,1
16,28,16
16,29,5
16,3,28
16,4,7
16,5,7
16,6,8
16,8,1
16,9,4
17,1,24
17,10,1
17,12,9
17,15,2
17,16,6
17,17,7
17,18,5
17,22,3
17,23,32
17,24,5
17,26,9
17,27,2
17,28,18
17,5,5
17,6,5
17,8,3
18,1,34
18,12,8
18,13,1
18,14,3
18,15,1
18,16,6
18,17,14
18,18,52
18,19,1
18,2,4
18,21,1
18,22,9
18,23,40
18,24,34
18,26,5
18,28,2
18,3,3
18,4,1
18,5,21
18,6,4
18,8,9
19,1,41
19,10,31
19,11,13
19,12,34
19,13,33
19,14,97
19,15,7
19,16,41
19,17,7
19,18,12
19,19,43
19,2,25
19,20,24
19,21,1
19,22,4
19,23,28
19,24,2
19,26,24
19,27,41
19,3,18
19,30,1
19,4,29
19,5,7
19,6,9
19,8,7
19,9,2
2,1,116
2,10,7
2,11,24
2,12,53
2,13,3
2,14,110
2,15,10
2,16,122
2,17,21
2,18,14
2,19,20
2,2,226
2,20,31
2,21,33
2,22,28
2,23,133
2,24,8
2,26,38
2,27,9
2,28,2
2,29,12
2,3,12
2,30,4
2,4,33
2,5,32
2,6,71
2,7,5
2,8,3
2,9,6
20,1,42
20,10,7
20,11,3
20,12,15
20,13,4
20,14,34
20,15,2
20,16,114
20,17,13
20,18,1
20,19,6
20,2,38
20,20,41
20,21,7
20,23,15
20,26,12
20,27,10
20,28,1
20,3,3
20,4,15
20,5,4
20,6,3
20,8,1
20,9,1
21,1,66
21,10,36
21,11,15
21,12,77
21,13,10
21,14,61
21,15,4
21,16,61
21,17,18
21,18,14
21,19,17
21,2,173
21,20,47
21,21,125
21,22,9
21,23,85
21,24,17
21,26,26
21,27,20
21,28,4
21,29,16
21,3,18
21,30,2
21,4,52
21,5,30
21,6,27
21,7,1
21,8,9
21,9,7
22,1,53
22,10,1
22,11,3
22,12,17
22,13,2
22,14,2
22,15,7
22,16,9
22,17,50
22,18,32
22,2,1
22,22,11
22,23,102
22,24,5
22,28,7
22,3,1
22,5,30
22,6,22
22,8,5
22,9,4
23,1,168
23,10,9
23,11,6
23,12,123
23,13,12
23,14,21
23,15,44
23,16,65
23,17,62
23,18,45
23,19,10
23,2,4
23,20,2
23,22,20
23,23,544
23,24,13
23,26,36
23,27,3
23,28,37
23,29,1
23,3,9
23,4,5
23,5,51
23,6,15
23,7,1
23,8,5
23,9,2
24,1,108
24,10,27
24,11,16
24,12,63
24,13,1
24,14,40
24,15,12
24,16,64
24,17,50
24,18,93
24,19,7
24,2,82
24,20,5
24,21,6
24,22,11
24,23,125
24,24,156
24,25,14
24,26,46
24,27,17
24,28,6
24,29,2
24,3,5
24,4,20
24,5,103
24,6,170
24,7,96
24,8,82
24,9,4
25,1,25
25,10,13
25,12,21
25,13,2
25,14,12
25,16,8
25,17,7
25,18,22
25,19,2
25,2,23
25,20,5
25,21,4
25,23,22
25,24,32
25,25,9
25,26,8
25,27,4
25,28,2
25,3,2
25,4,4
25,5,20
25,6,65
25,7,43
25,8,16
26,1,53
26,10,19
26,11,8
26,12,29
26,13,3
26,14,15
26,16,24
26,17,4
26,18,2
26,19,1
26,23,10
26,24,1
26,26,58
26,27,1
26,3,2
26,4,3
26,5,3
26,6,1
26,8,1
27,1,69
27,10,20
27,11,44
27,12,55
27,13,8
27,14,122
27,15,3
27,16,76
27,17,22
27,18,6
27,19,11
27,2,20
27,20,7
27,22,1
27,23,48
27,24,10
27,26,22
27,27,51
27,28,1
27,3,23
27,4,35
27,5,7
27,6,7
27,8,4
27,9,4
28,1,261
28,10,28
28,11,28
28,12,120
28,13,19
28,14,28
28,15,35
28,16,488
28,17,24
28,18,8
28,19,3
28,2,3
28,21,1
28,22,5
28,23,107
28,24,7
28,26,37
28,27,4
28,28,26
28,29,1
28,3,18
28,4,57
28,5,10
28,6,22
28,7,1
28,8,2
28,9,1
29,1,53
29,10,13
29,11,10
29,12,49
29,13,4
29,14,46
29,15,17
29,16,83
29,17,21
29,18,12
29,19,17
29,2,136
29,20,35
29,21,49
29,22,21
29,23,73
29,24,4
29,26,19
29,27,3
29,28,26
29,29,1
29,3,23
29,30,3
29,4,100
29,5,16
29,6,13
29,7,1
29,8,8
29,9,4
3,1,412
3,10,63
3,11,40
3,12,190
3,13,42
3,14,535
3,15,94
3,16,1052
3,17,54
3,18,38
3,19,9
3,2,82
3,20,7
3,21,1
3,22,28
3,23,215
3,24,16
3,25,1
3,26,174
3,27,39
3,28,14
3,29,10
3,3,1309
3,4,936
3,5,92
3,6,49
3,7,3
3,8,31
3,9,52
30,1,15
30,11,3
30,12,7
30,14,46
30,16,24
30,17,5
30,18,1
30,19,11
30,2,69
30,20,17
30,21,14
30,23,3
30,24,1
30,26,1
30,27,5
30,3,3
30,30,6
30,4,32
30,5,2
30,6,17
31,1,6
31,10,1
31,12,2
31,14,6
31,15,11
31,16,3
31,17,3
31,18,1
31,2,11
31,20,6
31,21,6
31,23,3
31,3,2
31,4,13
31,6,1
31,7,2
31,9,18
4,1,95
4,10,9
4,11,17
4,12,55
4,13,15
4,14,81
4,15,25
4,16,232
4,17,21
4,18,14
4,19,18
4,2,6
4,20,1
4,22,12
4,23,53
4,24,5
4,26,23
4,27,14
4,28,7
4,3,209
4,30,1
4,4,605
4,5,62
4,6,8
4,7,4
4,8,4
4,9,53
5,1,251
5,10,73
5,11,30
5,12,192
5,13,22
5,14,210
5,15,58
5,16,352
5,17,130
5,18,360
5,19,9
5,2,11
5,20,1
5,21,1
5,22,33
5,23,312
5,24,139
5,26,115
5,27,17
5,28,60
5,29,2
5,3,387
5,30,1
5,4,780
5,5,1183
5,6,232
5,8,201
5,9,437
6,1,121
6,10,42
6,11,22
6,12,136
6,13,6
6,14,97
6,15,10
6,16,111
6,17,54
6,18,40
6,19,33
6,2,295
6,20,16
6,21,21
6,22,16
6,23,183
6,24,28
6,26,38
6,27,21
6,28,8
6,29,3
6,3,23
6,30,3
6,4,44
6,5,156
6,6,666
6,7,62
6,8,54
6,9,5
7,1,45
7,10,12
7,11,8
7,12,33
7,14,21
7,15,2
7,16,60
7,17,17
7,18,25
7,19,26
7,2,74
7,20,3
7,21,9
7,22,6
7,23,47
7,24,39
7,26,18
7,27,8
7,28,22
7,3,5
7,4,12
7,5,49
7,6,168
7,7,47
7,8,43
7,9,1
8,1,224
8,10,44
8,11,47
8,12,162
8,13,15
8,14,37
8,15,40
8,16,129
8,17,179
8,18,360
8,19,3
8,2,25
8,22,44
8,23,374
8,24,255
8,26,81
8,27,15
8,28,9
8,29,7
8,3,17
8,30,3
8,4,18
8,5,554
8,6,235
8,7,3
8,8,851
8,9,14
9,1,179
9,10,46
9,11,27
9,12,85
9,13,7
9,14,139
9,15,19
9,16,299
9,17,49
9,18,52
9,19,21
9,2,30
9,20,3
9,21,3
9,22,2
9,23,91
9,24,29
9,26,92
9,27,30
9,28,7
9,29,3
9,3,174
9,4,587
9,5,135
9,6,33
9,7,6
9,8,47
9,9,968
