origin_dist,dest_dist,obs
1,1,843
1,2,22
1,3,58
1,4,14
1,5,29
1,6,3
1,7,38
1,8,18
1,9,14
1,10,11
1,11,14
1,12,6
1,13,4
1,14,3
1,15,5
1,16,5
1,17,1
1,19,1
1,21,22
1,23,3
1,24,34
1,25,10
1,26,3
1,27,2
1,29,1
2,1,38
2,2,1288
2,3,24
2,4,29
2,5,52
2,6,6
2,7,18
2,8,11
2,9,23
2,10,28
2,11,3
2,12,4
2,13,8
2,14,7
2,15,25
2,16,9
2,19,1
2,21,16
2,23,3
2,24,28
2,25,2
2,26,6
2,27,6
2,29,1
3,1,162
3,2,55
3,3,3814
3,4,52
3,5,30
3,6,98
3,7,80
3,8,37
3,9,235
3,10,58
3,11,18
3,12,14
3,13,15
3,14,11
3,15,36
3,16,28
3,17,3
3,18,4
3,19,1
3,20,2
3,21,51
3,23,18
3,24,114
3,25,8
3,26,3
3,27,2
3,29,1
3,31,1
4,1,174
4,2,73
4,3,142
4,4,3459
4,5,39
4,6,53
4,7,76
4,8,123
4,9,128
4,10,41
4,11,16
4,12,18
4,13,17
4,14,11
4,15,16
4,16,34
4,17,1
4,18,6
4,19,1
4,21,62
4,23,17
4,24,120
4,25,9
4,26,13
4,27,1
4,28,2
4,29,3
4,31,1
5,1,139
5,2,105
5,3,157
5,4,34
5,5,5773
5,6,14
5,7,148
5,8,40
5,9,145
5,10,102
5,11,41
5,12,133
5,13,12
5,14,36
5,15,28
5,16,97
5,17,1
5,18,1
5,19,3
5,20,3
5,21,133
5,22,3
5,23,35
5,24,278
5,25,25
5,26,29
5,27,59
5,28,2
5,30,1
5,31,1
6,1,213
6,2,48
6,3,333
6,4,70
6,5,21
6,6,5921
6,7,63
6,8,158
6,9,334
6,10,26
6,11,17
6,12,12
6,13,24
6,14,31
6,15,91
6,16,19
6,17,4
6,18,4
6,19,1
6,20,4
6,21,6
6,22,4
6,23,30
6,24,107
6,25,12
6,26,1
6,27,1
6,29,1
7,3,3
7,5,1
7,7,2
7,9,1
7,12,4
7,16,2
7,18,1
7,24,19
8,1,117
8,2,75
8,3,123
8,4,84
8,5,34
8,6,92
8,7,45
8,8,4501
8,9,135
8,10,20
8,11,9
8,12,30
8,13,46
8,14,29
8,15,16
8,16,19
8,18,8
8,21,54
8,22,1
8,23,9
8,24,68
8,25,11
8,26,15
8,27,13
8,28,1
8,29,1
9,1,89
9,2,26
9,3,206
9,4,38
9,5,23
9,6,112
9,7,83
9,8,39
9,9,5620
9,10,15
9,11,76
9,12,15
9,13,30
9,14,11
9,15,171
9,16,22
9,17,5
9,18,12
9,19,2
9,21,19
9,22,3
9,23,71
9,24,133
9,25,28
9,26,11
9,27,1
9,28,4
9,29,3
10,1,118
10,2,115
10,3,119
10,4,54
10,5,54
10,6,14
10,7,112
10,8,46
10,9,156
10,10,4464
10,11,25
10,12,49
10,13,14
10,14,59
10,15,26
10,16,108
10,17,1
10,19,10
10,21,50
10,23,20
10,24,136
10,25,53
10,26,79
10,27,10
10,28,12
10,29,4
11,1,34
11,2,23
11,3,96
11,4,7
11,5,26
11,6,13
11,7,59
11,8,11
11,9,196
11,10,22
11,11,2775
11,12,14
11,13,6
11,14,19
11,15,51
11,16,32
11,17,13
11,18,1
11,19,2
11,21,46
11,22,2
11,23,50
11,24,151
11,25,30
11,26,16
11,27,4
11,29,1
12,1,133
12,2,50
12,3,119
12,4,25
12,5,196
12,6,53
12,7,154
12,8,24
12,9,230
12,10,42
12,11,40
12,12,7794
12,13,18
12,14,175
12,15,53
12,16,82
12,17,1
12,18,1
12,19,11
12,20,1
12,21,151
12,23,29
12,24,537
12,25,38
12,26,15
12,27,60
12,28,4
12,29,8
12,30,5
13,1,65
13,2,16
13,3,55
13,4,47
13,5,17
13,6,55
13,7,23
13,8,277
13,9,128
13,10,19
13,11,2
13,12,38
13,13,3288
13,14,100
13,15,20
13,16,4
13,18,1
13,21,20
13,23,10
13,24,64
13,25,13
13,26,2
13,27,12
13,28,13
13,29,4
14,1,166
14,2,46
14,3,104
14,4,15
14,5,126
14,6,31
14,7,201
14,8,50
14,9,236
14,10,113
14,11,35
14,12,394
14,13,34
14,14,9881
14,15,38
14,16,65
14,18,3
14,19,16
14,21,170
14,22,2
14,23,32
14,24,319
14,25,73
14,26,32
14,27,394
14,28,8
14,29,18
15,1,63
15,2,15
15,3,149
15,4,13
15,5,11
15,6,37
15,7,37
15,8,12
15,9,499
15,10,18
15,11,32
15,12,18
15,14,7
15,15,7387
15,16,18
15,17,9
15,18,28
15,19,11
15,20,1
15,21,23
15,22,27
15,23,149
15,24,126
15,25,10
15,26,2
15,27,12
15,31,1
16,1,82
16,2,64
16,3,92
16,4,31
16,5,48
16,6,19
16,7,56
16,8,35
16,9,118
16,10,116
16,11,12
16,12,17
16,13,3
16,14,14
16,15,30
16,16,5178
16,18,11
16,19,3
16,20,14
16,21,75
16,22,5
16,23,20
16,24,129
16,25,20
16,26,121
16,27,4
16,28,82
16,29,4
16,30,5
